topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Engineering Physics,Thermodynamics in Engines,first law;thermodynamics;energy conservation,Eduqas;AQA;OCR;Edexcel,Which law states that energy cannot be created or destroyed?,Zeroth law of thermodynamics,First law of thermodynamics,Second law of thermodynamics,Third law of thermodynamics,B,The first law of thermodynamics is a statement of conservation of energy.,easy
Engineering Physics,Thermodynamics in Engines,thermal efficiency;heat engine;definition,Eduqas;AQA;OCR;Edexcel,"In a heat engine, what is thermal efficiency defined as?",Work output divided by heat input,Heat input divided by work output,Temperature difference between source and sink,Work output divided by time,A,"Efficiency η = W/Qin, the ratio of useful work to energy input as heat.",medium
Engineering Physics,Thermodynamics in Engines,heat engine;cold reservoir;waste heat,Eduqas;AQA;OCR;Edexcel,Which part of a heat engine rejects waste heat?,Combustion chamber,Hot reservoir,Cold reservoir,Exhaust valve,C,The cold reservoir is where waste heat is transferred to complete the thermodynamic cycle.,medium
Engineering Physics,Thermodynamics in Engines,carnot efficiency;temperature;thermodynamics,Eduqas;AQA;OCR;Edexcel,What is the ideal maximum efficiency of a heat engine operating between 600 K and 300 K?,25%,33%,50%,100%,C,Carnot efficiency η = 1 - Tc/Th = 1 - 300/600 = 0.5 = 50%.,hard
Engineering Physics,Thermodynamics in Engines,otto cycle;internal combustion;engines,Eduqas;AQA;OCR;Edexcel,Which cycle is most commonly used in internal combustion engines?,Carnot cycle,Brayton cycle,Otto cycle,Diesel cycle,C,The Otto cycle models spark-ignition (petrol) engines.,medium
Engineering Physics,Thermodynamics in Engines,adiabatic;thermodynamics;heat transfer,Eduqas;AQA;OCR;Edexcel,"In the context of thermodynamics, what does the term 'adiabatic' mean?",Heat is transferred into the system,Work is done at constant volume,No heat is exchanged with the surroundings,Process occurs at constant pressure,C,Adiabatic processes occur without heat transfer into or out of the system.,easy
Engineering Physics,Thermodynamics in Engines,thermal efficiency;hot reservoir;thermodynamics,Eduqas;AQA;OCR;Edexcel,Which of the following increases the thermal efficiency of an engine?,Increasing fuel mass,Increasing the temperature of the hot reservoir,Increasing ambient pressure,Increasing the exhaust volume,B,Raising the temperature of the hot reservoir increases the potential efficiency (Carnot limit).,medium
Engineering Physics,Thermodynamics in Engines,second law;thermodynamics;efficiency,Eduqas;AQA;OCR;Edexcel,Which law explains why not all heat energy is converted to work?,First law,Second law,Zeroth law,Third law,B,The second law of thermodynamics sets limits on conversion of heat to work — some is always lost.,medium
Engineering Physics,Thermodynamics in Engines,T-s diagram;temperature;entropy,Eduqas;AQA;OCR;Edexcel,What does a T–s diagram show in thermodynamics?,Force and distance,Temperature vs. speed,Temperature vs. entropy,Time vs. heat,C,"T–s diagrams plot temperature (T) against entropy (s), useful for visualising thermodynamic cycles.",hard
Engineering Physics,Thermodynamics in Engines,car engine;efficiency;real values,Eduqas;AQA;OCR;Edexcel,What is the typical range of thermal efficiency for a modern car engine?,5–10%,20–30%,40–50%,60–70%,B,Most internal combustion engines operate with an efficiency of 20–30%.,medium
Engineering Physics,Power Transmission and Efficiency,power transmission;high voltage;losses,Eduqas;AQA;OCR;Edexcel,What is the main reason for transmitting electricity at high voltages?,To reduce resistance in cables,To decrease the need for transformers,To reduce power losses due to resistance,To increase current flow,C,"High voltage reduces current, and since power loss ∝ I²R, it minimizes energy lost as heat.",easy
Engineering Physics,Power Transmission and Efficiency,power loss;resistance;equation,Eduqas;AQA;OCR;Edexcel,Which equation gives the power loss in transmission cables?,P = VI,P = I²R,P = V²/R,P = IR²,B,Power loss due to resistance is P = I²R.,easy
Engineering Physics,Power Transmission and Efficiency,power loss;current;voltage,Eduqas;AQA;OCR;Edexcel,How can power loss be reduced without changing resistance?,Increase current,Decrease voltage,Increase voltage,Use thinner wires,C,"Increasing voltage reduces current for the same power, reducing I²R losses.",medium
Engineering Physics,Power Transmission and Efficiency,transformer;voltage;power transmission,Eduqas;AQA;OCR;Edexcel,What device is used to change voltage in power transmission systems?,Generator,Rectifier,Transformer,Capacitor,C,Transformers are used to step up or step down voltage.,easy
Engineering Physics,Power Transmission and Efficiency,power station;step-up transformer;transmission,Eduqas;AQA;OCR;Edexcel,Which part of the grid uses step-up transformers?,Power stations,Domestic appliances,Street lights,Electric kettles,A,Step-up transformers are located at power stations to raise voltage before transmission.,medium
Engineering Physics,Power Transmission and Efficiency,efficiency;power;ratio,Eduqas;AQA;OCR;Edexcel,Efficiency is defined as:,Output power / input power,Input power / output power,Power × time,1 / resistance,A,Efficiency = (useful output / total input) × 100%.,easy
Engineering Physics,Power Transmission and Efficiency,efficiency;calculation;power,Eduqas;AQA;OCR;Edexcel,A device outputs 900 W and takes in 1200 W. What is its efficiency?,75%,90%,60%,33%,A,Efficiency = 900/1200 = 0.75 = 75%.,medium
