topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Astrophysics and Cosmology,Using Radiation to Investigate Stars,stellar spectrum;continuous spectrum;surface radiation,Eduqas,What type of spectrum is emitted by the surface of a star?,Absorption spectrum,Continuous spectrum,Emission spectrum,Gamma spectrum,B,The gases at the surface of a star emit a continuous spectrum of radiation.,easy
Astrophysics and Cosmology,Using Radiation to Investigate Stars,absorption lines;stellar atmosphere;spectrum,Eduqas,Why do absorption lines appear in the spectrum of starlight?,Due to the surface temperature of the star,Because gases in the star's atmosphere absorb specific wavelengths,As a result of nuclear fusion in the core,Because light is reflected off surrounding planets,B,"As light from the star passes through its atmosphere, atoms absorb certain wavelengths, forming absorption lines.",easy
Astrophysics and Cosmology,Using Radiation to Investigate Stars,Wien’s Law;peak wavelength;temperature,Eduqas,What does Wien’s Law relate the temperature of a star to?,The total energy output,Its color,Its distance,The peak wavelength of emitted radiation,D,Wien’s Law states that the peak wavelength is inversely proportional to the temperature of the star.,medium
Astrophysics and Cosmology,Using Radiation to Investigate Stars,Wien’s Law;temperature;calculation,Eduqas,A star emits radiation with a peak wavelength of 600 nm. What is its surface temperature? (Use Wien’s constant: 2.90 × 10⁻³ m·K),4800 K,2900 K,5000 K,5800 K,A,T = Wien’s constant / λ = (2.90×10⁻³) / (600×10⁻⁹) = 4833 K ≈ 4800 K.,hard
Astrophysics and Cosmology,Using Radiation to Investigate Stars,black body;radiation;absorption;emission,Eduqas,Which of the following best describes a black body?,An object that reflects all radiation,An object that absorbs and emits all radiation perfectly,A body that emits only infrared radiation,A body that emits no radiation,B,A black body is an idealized object that perfectly absorbs and emits all incident radiation.,medium
Astrophysics and Cosmology,Using Radiation to Investigate Stars,Stefan’s Law;luminosity;temperature,Eduqas,"According to Stefan’s Law, the luminosity of a star is proportional to:",Its radius,The square of its temperature,Its surface area and the fourth power of its temperature,The cube of its radius,C,"L = σAT⁴, where A is surface area and T is temperature in Kelvin.",medium
Astrophysics and Cosmology,Using Radiation to Investigate Stars,Stefan constant;value;physics constants,Eduqas,The Stefan-Boltzmann constant is:,5.67 × 10⁻⁸ W m⁻² K⁻⁴,6.63 × 10⁻³⁴ J·s,2.90 × 10⁻³ m·K,9.81 m/s²,A,The Stefan-Boltzmann constant σ = 5.67 × 10⁻⁸ W m⁻² K⁻⁴.,easy
Astrophysics and Cosmology,Using Radiation to Investigate Stars,inverse square law;intensity;distance,Eduqas,What law describes how radiation intensity decreases with distance?,Wien’s Law,Planck’s Law,Inverse Square Law,Kirchhoff’s Law,C,The inverse square law states intensity ∝ 1/d² from the source.,easy
Astrophysics and Cosmology,Using Radiation to Investigate Stars,inverse square law;intensity;calculation,Eduqas,"If the intensity of a star's radiation is 1000 W/m² at 1 AU, what is it at 2 AU?",250 W/m²,500 W/m²,1000 W/m²,2000 W/m²,A,Using inverse square law: I ∝ 1/d² → I at 2 AU = 1000 / 4 = 250 W/m².,hard
Astrophysics and Cosmology,Using Radiation to Investigate Stars,multiwavelength;astronomy;observations,Eduqas,What does multiwavelength astronomy help astronomers observe?,Only visible stars,Stars only during solar flares,Cosmic phenomena across the EM spectrum,Changes in telescope position,C,Multiwavelength astronomy uses the entire EM spectrum to reveal features invisible in visible light alone.,medium
Astrophysics and Cosmology,Using Radiation to Investigate Stars,absorption spectrum;sunlight;atmosphere,Eduqas,Explain how the absorption spectrum from the Sun arises.,Light from the core is reflected by the atmosphere.,Electrons in the core emit photons at all frequencies.,Atoms in the Sun’s atmosphere absorb specific wavelengths of light.,"Sunlight bends around planets, filtering out frequencies.",C,"As white light passes through the cooler gases in the Sun’s atmosphere, atoms absorb specific wavelengths, causing absorption lines.",medium
Astrophysics and Cosmology,Using Radiation to Investigate Stars,luminosity;distance;light year;intensity,Eduqas,The star Polaris is 431 light years away and the intensity of its radiation reaching the Earth is 4.1 × 10⁻⁹ W/m². What is its luminosity? (1 light year = 9.5 × 10¹⁵ m),9.5 × 10²⁶ W,2.1 × 10²⁸ W,9.0 × 10²⁷ W,7.1 × 10²⁸ W,D,Use L = 4πd²I; d = 431 × 9.5×10¹⁵ m → L ≈ 7.1 × 10²⁸ W,hardcore
Astrophysics and Cosmology,Using Radiation to Investigate Stars,wien’s law;peak wavelength;temperature,Eduqas,What is Wien’s Law?,L = σAT⁴,λ_max = hc/E,λ_max = b/T,f = c/λ,C,"Wien’s Law relates the peak wavelength λ_max to the temperature T: λ_max = b / T, where b is a constant.",easy
Astrophysics and Cosmology,Using Radiation to Investigate Stars,stefan boltzmann;radius;temperature;luminosity,Eduqas,A star has a surface temperature of 6000 K and radiates at 3.9 × 10²⁶ W. What is its radius? (σ = 5.67 × 10⁻⁸ W m⁻² K⁻⁴),6.96 × 10⁸ m,1.25 × 10⁹ m,4.23 × 10⁸ m,3.41 × 10⁹ m,A,Using L = 4πR²σT⁴ and solving for R: R = √(L / (4πσT⁴)) ≈ 6.96 × 10⁸ m,hardcore
