"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Electricity","IV Characteristics (ohmic/non-ohmic)","IV characteristics;ohmic;resistor","Eduqas;AQA;OCR;Edexcel","Which of the following components displays a linear I-V characteristic?","Filament lamp","Thermistor","Resistor","Diode","C","A resistor is an ohmic component and shows a straight-line I-V characteristic (constant resistance).","easy"
"Electricity","IV Characteristics (ohmic/non-ohmic)","filament lamp;non-ohmic;temperature","Eduqas;AQA;OCR;Edexcel","A filament lamp is an example of:","Ohmic conductor","Non-ohmic conductor","Superconductor","Semiconductor","B","A filament lamp is non-ohmic because its resistance increases with temperature, resulting in a curved I-V graph.","easy"
"Electricity","IV Characteristics (ohmic/non-ohmic)","diode;IV curve;threshold voltage","Eduqas;AQA;OCR;Edexcel","Which graph best describes the I-V characteristic of a diode?","Straight line through origin","Curved line symmetrical about the origin","Zero current until threshold voltage, then rapid increase","Linear increase in current with voltage","C","A diode allows current only after a certain threshold voltage, creating a steep rise in current beyond that point.","medium"
"Electricity","IV Characteristics (ohmic/non-ohmic)","IV graph;ohmic;linear","Eduqas;AQA;OCR;Edexcel","What does a straight-line I-V graph indicate about a component?","Resistance changes with voltage","It has a threshold voltage","It follows Ohm's Law","It only works in one direction","C","A straight-line I-V graph means current is proportional to voltage, i.e., it follows Ohm’s Law.","easy"
"Electricity","IV Characteristics (ohmic/non-ohmic)","filament lamp;resistance;temperature","Eduqas;AQA;OCR;Edexcel","What happens to the resistance of a filament lamp as current increases?","Decreases","Stays the same","Increases","Becomes zero","C","As current increases, the filament heats up and its resistance increases.","medium"
"Electricity","IV Characteristics (ohmic/non-ohmic)","resistor;IV curve;symmetry","Eduqas;AQA;OCR;Edexcel","Which of these components is most likely to show symmetrical I-V behavior in both directions?","Diode","Resistor","Thermistor","Light-dependent resistor","B","Resistors are linear and show symmetrical behavior for positive and negative voltages.","medium"
"Electricity","IV Characteristics (ohmic/non-ohmic)","thermistor;IV curve;temperature","Eduqas;AQA;OCR;Edexcel","Why does a thermistor show a curved I-V graph?","It has a high resistance","It is non-ohmic; its resistance decreases as temperature increases","It obeys Ohm’s Law only at low voltages","It is made of superconducting material","B","A thermistor’s resistance decreases with temperature, so current increases non-linearly with voltage.","medium"
"Electricity","IV Characteristics (ohmic/non-ohmic)","diode;threshold;current","Eduqas;AQA;OCR;Edexcel","A diode has a threshold voltage of 0.7 V. What is the current when applied voltage is 0.5 V?","Maximum","Zero or negligible","Equal to 0.5 A","Equal to 1 A","B","A diode does not conduct significantly until the applied voltage exceeds the threshold (typically 0.7 V).","hard"
"Electricity","IV Characteristics (ohmic/non-ohmic)","ohmic;resistance;voltage","Eduqas;AQA;OCR;Edexcel","How does the resistance of an ohmic conductor behave with changing voltage?","Increases exponentially","Decreases linearly","Remains constant","Varies unpredictably","C","In an ohmic conductor, resistance remains constant regardless of voltage (linear I-V graph).","easy"
"Electricity","IV Characteristics (ohmic/non-ohmic)","diode;non-linear;unidirectional","Eduqas;AQA;OCR;Edexcel","Which component allows current only in one direction and has a nonlinear I-V curve?","Resistor","Diode","LDR","Capacitor","B","A diode is designed to conduct current in one direction only, producing a non-linear I-V characteristic.","medium"
