topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Engineering Physics,Power Transmission and Efficiency,power transmission;high voltage;losses,Eduqas;AQA;OCR;Edexcel,What is the main reason for transmitting electricity at high voltages?,To reduce resistance in cables,To decrease the need for transformers,To reduce power losses due to resistance,To increase current flow,C,"High voltage reduces current, and since power loss ∝ I²R, it minimizes energy lost as heat.",easy
Engineering Physics,Power Transmission and Efficiency,power loss;resistance;equation,Eduqas;AQA;OCR;Edexcel,Which equation gives the power loss in transmission cables?,P = VI,P = I²R,P = V²/R,P = IR²,B,Power loss due to resistance is P = I²R.,easy
Engineering Physics,Power Transmission and Efficiency,power loss;current;voltage,Eduqas;AQA;OCR;Edexcel,How can power loss be reduced without changing resistance?,Increase current,Decrease voltage,Increase voltage,Use thinner wires,C,"Increasing voltage reduces current for the same power, reducing I²R losses.",medium
Engineering Physics,Power Transmission and Efficiency,transformer;voltage;power transmission,Eduqas;AQA;OCR;Edexcel,What device is used to change voltage in power transmission systems?,Generator,Rectifier,Transformer,Capacitor,C,Transformers are used to step up or step down voltage.,easy
Engineering Physics,Power Transmission and Efficiency,power station;step-up transformer;transmission,Eduqas;AQA;OCR;Edexcel,Which part of the grid uses step-up transformers?,Power stations,Domestic appliances,Street lights,Electric kettles,A,Step-up transformers are located at power stations to raise voltage before transmission.,medium
Engineering Physics,Power Transmission and Efficiency,efficiency;power;ratio,Eduqas;AQA;OCR;Edexcel,Efficiency is defined as:,Output power / input power,Input power / output power,Power × time,1 / resistance,A,Efficiency = (useful output / total input) × 100%.,easy
Engineering Physics,Power Transmission and Efficiency,efficiency;calculation;power,Eduqas;AQA;OCR;Edexcel,A device outputs 900 W and takes in 1200 W. What is its efficiency?,75%,90%,60%,33%,A,Efficiency = 900/1200 = 0.75 = 75%.,medium
Engineering Physics,Power Transmission and Efficiency,voltage;current;power loss,Eduqas;AQA;OCR;Edexcel,What happens if voltage is doubled for the same power transmission?,Power loss is halved,Power loss remains the same,"Current is halved, power loss reduced by factor of 4","Current doubles, power loss increases",C,"Doubling voltage halves current, so I²R loss becomes one quarter.",hard
Engineering Physics,Power Transmission and Efficiency,transmission;copper;resistance,Eduqas;AQA;OCR;Edexcel,Which of the following materials would be best for transmission lines?,Iron,Nickel,Copper,Plastic,C,"Copper has low resistance, making it ideal for reducing power losses.",easy
Engineering Physics,Power Transmission and Efficiency,step-down transformer;consumer voltage,Eduqas;AQA;OCR;Edexcel,What is the role of a step-down transformer in the grid?,To increase current for homes,To reduce voltage to safer levels for consumers,To store electrical energy,To cool high-voltage lines,B,Step-down transformers reduce transmission voltage to levels safe for home and commercial use.,easy
