topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Engineering Physics,Rotational Dynamics and Moment of Inertia,rotational dynamics;moment of inertia;mass,Eduqas;AQA;OCR;Edexcel,What is the rotational equivalent of mass in linear motion?,Torque,Angular velocity,Moment of inertia,Angular momentum,C,Moment of inertia is the rotational equivalent of mass — it represents resistance to angular acceleration.,easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,moment of inertia;units;kg m²,Eduqas;AQA;OCR;Edexcel,What is the unit of moment of inertia?,kg,kg·m/s,kg·m²,N·m,C,"Moment of inertia has units of kg·m², combining mass and the square of the distance from the axis.",easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,torque;angular acceleration;inertia,Eduqas;AQA;OCR;Edexcel,"Which formula correctly relates torque (τ), moment of inertia (I), and angular acceleration (α)?",τ = I × α,τ = α / I,τ = I / α,τ = α² × I,A,The rotational form of Newton’s second law: τ = Iα.,easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,moment of inertia;distribution;axis,Eduqas;AQA;OCR;Edexcel,What happens to the moment of inertia if mass is distributed farther from the axis of rotation?,It decreases,It increases,It stays constant,It becomes zero,B,Moment of inertia increases with distance squared from the axis: I = Σmr².,medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,rotational inertia;solid cylinder;formula,Eduqas;AQA;OCR;Edexcel,"For a solid cylinder rotating about its central axis, what is its moment of inertia?",(1/2)MR²,MR²,(2/5)MR²,(1/3)MR²,A,The moment of inertia for a solid cylinder = (1/2)MR².,medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,angular momentum;conservation;torque,Eduqas;AQA;OCR;Edexcel,What physical quantity is conserved when no external torque acts on a rotating system?,Angular acceleration,Moment of inertia,Angular momentum,Torque,C,Conservation of angular momentum applies when no external torque is present.,medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,angular momentum;moment of inertia;rotation,Eduqas;AQA;OCR;Edexcel,An object spins faster when its mass moves closer to its axis. Why?,Moment of inertia increases,Angular momentum decreases,Moment of inertia decreases and angular speed increases to conserve angular momentum,Torque is increased,C,"As moment of inertia decreases, angular velocity must increase to conserve angular momentum.",medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,rotational energy;kinetic;angular velocity,Eduqas;AQA;OCR;Edexcel,What is the rotational analogue of kinetic energy?,(1/2)mv²,(1/2)Iω²,Iω,F×d,B,"Rotational kinetic energy = (1/2)Iω², where I is moment of inertia and ω is angular velocity.",easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,moment of inertia;disk;calculation,Eduqas;AQA;OCR;Edexcel,A disk has mass 2 kg and radius 0.5 m. What is its moment of inertia about its center?,0.25 kg·m²,0.5 kg·m²,1.0 kg·m²,0.125 kg·m²,B,"For a solid disk, I = (1/2)MR² = 0.5 × 2 × (0.5)² = 0.25 kg·m².",medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,angular acceleration;torque;rotation,Eduqas;AQA;OCR;Edexcel,Which of the following increases the angular acceleration of a rotating object?,Increasing the moment of inertia,Decreasing the torque,Increasing the torque,Increasing the mass near the axis,C,"Angular acceleration α = τ/I, so increasing torque increases α.",easy
