topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Engineering Physics,Stress-Strain in Real Materials,stress;definition;force;area,Eduqas;AQA;OCR;Edexcel,What is the definition of stress in a material?,Force per unit volume,Force per unit area,Extension per unit length,Energy stored per unit mass,B,Stress is defined as force divided by cross-sectional area: σ = F/A.,easy
Engineering Physics,Stress-Strain in Real Materials,strain;unit;dimensionless,Eduqas;AQA;OCR;Edexcel,What is the SI unit of strain?,Pascal,Newton,No units,Metre,C,"Strain is a ratio of lengths (ΔL/L), so it is dimensionless.",easy
Engineering Physics,Stress-Strain in Real Materials,young's modulus;stress;strain,Eduqas;AQA;OCR;Edexcel,What is the Young’s modulus of a material?,Stress × strain,Stress / strain,Strain / stress,Force × area,B,Young’s modulus E = stress / strain — a measure of stiffness.,easy
Engineering Physics,Stress-Strain in Real Materials,stress-strain;gradient;modulus,Eduqas;AQA;OCR;Edexcel,What does the gradient of the linear region of a stress-strain graph represent?,Strain energy,Stress,Young’s modulus,Breaking strength,C,"In the elastic region, the gradient of the stress-strain graph is the Young’s modulus.",medium
Engineering Physics,Stress-Strain in Real Materials,stress-strain;area;energy,Eduqas;AQA;OCR;Edexcel,What does the area under a stress-strain graph represent?,Strain,Elastic limit,Work done per unit volume,Ultimate strength,C,The area under the stress-strain curve gives the energy stored per unit volume (strain energy density).,medium
Engineering Physics,Stress-Strain in Real Materials,stress-strain;elastic limit;plastic deformation,Eduqas;AQA;OCR;Edexcel,What point on a stress-strain graph indicates permanent deformation?,Limit of proportionality,Elastic limit,Ultimate tensile strength,Breaking point,B,"Beyond the elastic limit, the material will not return to its original shape after the force is removed.",medium
Engineering Physics,Stress-Strain in Real Materials,ductile;plastic deformation;elastic limit,Eduqas;AQA;OCR;Edexcel,What happens to a ductile material after the elastic limit is exceeded?,It returns to original shape,It behaves elastically,It undergoes plastic deformation,It breaks immediately,C,A ductile material deforms plastically after the elastic limit is passed.,medium
Engineering Physics,Stress-Strain in Real Materials,ultimate tensile strength;stress;failure,Eduqas;AQA;OCR;Edexcel,What is the ultimate tensile strength (UTS) of a material?,The maximum elastic limit,The stress required to fracture,The maximum stress a material can withstand,The energy stored before yielding,C,UTS is the maximum stress a material can withstand while being stretched before it begins to neck.,medium
Engineering Physics,Stress-Strain in Real Materials,brittle;material;deformation,Eduqas;AQA;OCR;Edexcel,Which type of material shows little to no plastic deformation before breaking?,Ductile,Elastic,Brittle,Flexible,C,"Brittle materials fracture shortly after reaching the elastic limit, with little plastic deformation.",medium
Engineering Physics,Stress-Strain in Real Materials,stress;calculation;force;area,Eduqas;AQA;OCR;Edexcel,A wire with cross-sectional area 2 mm² experiences a force of 100 N. What is the stress?,5 × 10⁶ Pa,2 × 10⁴ Pa,2 × 10⁶ Pa,5 × 10⁴ Pa,A,Stress = F/A = 100 N / 2×10⁻⁶ m² = 5 × 10⁷ Pa.,hard
