topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Electromagnetic Induction,Faraday's law; emf; flux linkage,AQA;OCR;Eduqas;Edexcel,The magnetic flux through a 250-turn coil changes by 8.0 × 10⁻³ Wb in 0.020 s. What is the magnitude of the induced emf?,102.0 V,100.0 V,80.0 V,120.0 V,B,Using Faraday’s Law: emf = N × ΔΦ/Δt = 250 × 8.0 × 10⁻³ / 0.020 = 100.0 V. Sign ignored as only magnitude is asked.,hardcore
Fields,Electromagnetic Induction,Lenz's law; direction; field opposition,AQA;OCR;Eduqas;Edexcel,A magnet is pushed north pole first into a coil from above. What is the direction of the induced current (viewed from above)?,Clockwise,Anticlockwise,Downward,Upward,B,"By Lenz's law, the coil opposes the increasing flux. To oppose the north pole entering, it produces a north pole — requiring an anticlockwise current (viewed from above).",hardcore
Fields,Electromagnetic Induction,magnetic flux; angle; area,AQA;OCR;Eduqas;Edexcel,A 0.03 m² coil is placed at 30° to a magnetic field of 0.40 T. What is the magnetic flux through it?,5.2 × 10⁻³ Wb,1.1 × 10⁻² Wb,1.0 × 10⁻² Wb,1.6 × 10⁻² Wb,C,Φ = BA cosθ = 0.40 × 0.03 × cos(30°) = 1.0 × 10⁻² Wb.,hardcore
Fields,Electromagnetic Induction,power; resistance; energy,AQA;OCR;Eduqas;Edexcel,A 5.0 V emf is applied to a 10 Ω resistor for 4.0 s. How much energy is dissipated?,9.0 J,12.0 J,10.0 J,12.0 J,C,P = V²/R ⇒ E = Pt = (25/10) × 4 = {correct}.,hardcore
Fields,Electromagnetic Induction,Faraday; emf; flux change,AQA;OCR;Eduqas;Edexcel,An emf of 3.6 V is induced across a coil with 120 turns. What is the average rate of change of magnetic flux?,3.1 × 10⁻² Wb/s,6.0 × 10⁻² Wb/s,1.5 × 10⁻² Wb/s,3.0 × 10⁻² Wb/s,D,dΦ/dt = emf/N = 3.6 / 120 = 3.0 × 10⁻² Wb/s.,hardcore
Fields,Electromagnetic Induction,units; magnetic flux; Weber,AQA;OCR;Eduqas;Edexcel,What is the SI unit of magnetic flux?,Ω,T,Wb,V·s⁻¹,C,"Magnetic flux is measured in Webers (Wb), where 1 Wb = 1 T·m².",hard
Fields,Electromagnetic Induction,Faraday; law; relationship,AQA;OCR;Eduqas;Edexcel,Which of the following best describes Faraday’s Law?,emf ∝ current,emf ∝ rate of flux change,emf ∝ resistance,emf ∝ flux,B,Faraday’s Law states that the induced emf is proportional to the rate of change of magnetic flux linkage.,hard
Fields,Electromagnetic Induction,zero emf; constant flux,AQA;OCR;Eduqas;Edexcel,When is the induced emf in a coil zero?,Coil has no resistance,Flux constant,Flux decreasing,Flux increasing,B,"If magnetic flux is constant (not changing), then dΦ/dt = 0 and emf = 0.",hard
Fields,Electromagnetic Induction,Lenz; current; direction,AQA;OCR;Eduqas;Edexcel,"According to Lenz’s law, the induced current always...",Unrelated,Enhances change,Depends on material,Opposes change,D,Lenz’s Law: the induced current always acts to oppose the change that produced it.,hard
Fields,Electromagnetic Induction,area; flux; induction,AQA;OCR;Eduqas;Edexcel,"If the area of a coil in a magnetic field is increased rapidly, what happens to the induced emf?",Increases emf,No effect,Decreases emf,Only matters for current,A,"Increasing area increases the flux, and if this happens over time, emf = –dΦ/dt increases.",hard
