topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Electromagnetic Induction,electromagnetic induction;emf;magnetic field,Eduqas;AQA;OCR;Edexcel,What is electromagnetic induction?,The generation of electricity by moving a magnet near a conductor,The attraction between two charged particles,The increase in temperature due to current,The creation of electric fields in capacitors,A,Electromagnetic induction occurs when a changing magnetic field induces an electromotive force (emf) in a conductor.,easy
Fields,Electromagnetic Induction,faraday’s law;induction;flux,Eduqas;AQA;OCR;Edexcel,Which law states that the induced emf is proportional to the rate of change of magnetic flux?,Ampere’s Law,Lenz’s Law,Faraday’s Law,Ohm’s Law,C,Faraday’s Law of Electromagnetic Induction relates emf to the rate of change of magnetic flux.,easy
Fields,Electromagnetic Induction,lenz’s law;direction;opposition,Eduqas;AQA;OCR;Edexcel,What is Lenz’s Law?,The emf induced is always positive,The direction of induced current opposes the change producing it,Current flows in the direction of the magnetic field,Voltage is proportional to current,B,Lenz’s Law ensures conservation of energy by opposing the cause of induction.,medium
Fields,Electromagnetic Induction,units;magnetic flux;weber,Eduqas;AQA;OCR;Edexcel,Which quantity is measured in Weber (Wb)?,Magnetic flux,Induced emf,Electric field,Current,A,Magnetic flux is measured in webers (Wb).,easy
Fields,Electromagnetic Induction,induction;increase emf;flux change,Eduqas;AQA;OCR;Edexcel,How can the magnitude of induced emf be increased?,By decreasing the number of turns in the coil,By increasing the resistance,By moving the magnet faster,By keeping the field constant,C,"Faster movement causes a more rapid change in flux, increasing emf.",medium
Fields,Electromagnetic Induction,flux linkage;equation;induction,Eduqas;AQA;OCR;Edexcel,What is the equation for magnetic flux linkage?,Φ = B × A,NΦ = B/A,Φ = B × A × N,Φ = A/B,C,"Flux linkage is Φ = B × A × N where B is flux density, A is area, and N is number of turns.",medium
Fields,Electromagnetic Induction,induction;angle;flux,Eduqas;AQA;OCR;Edexcel,What happens to the induced emf if the magnetic field is perpendicular to the coil's area?,It is zero,It is maximized,It is halved,It oscillates,B,Maximum flux is linked when the field is perpendicular to the area of the coil.,medium
Fields,Electromagnetic Induction,no induction;stationary;no flux change,Eduqas;AQA;OCR;Edexcel,Which of these setups would not induce a current in a coil?,Moving a magnet toward the coil,Rotating the coil in a magnetic field,Holding a magnet stationary near a stationary coil,Changing the area of the coil in the field,C,"No change in flux means no induced emf, hence no current.",easy
Fields,Electromagnetic Induction,emf;unit;volt,Eduqas;AQA;OCR;Edexcel,What is the unit of induced emf?,Ampere,Tesla,Volt,Weber,C,Induced emf is measured in volts (V).,easy
Fields,Electromagnetic Induction,flux linkage;calculation,Eduqas;AQA;OCR;Edexcel,A coil has 100 turns and a magnetic flux of 2 × 10⁻³ Wb. What is the flux linkage?,0.2 Wb,0.02 Wb,0.0002 Wb,200 Wb,A,Flux linkage = N × Φ = 100 × 2 × 10⁻³ = 0.2 Wb.,medium
