question_text,option_a,option_b,option_c,option_d,correct_option,explanation,topic,subtopic,keywords,exam_boards,difficulty
A satellite of mass 500 kg is in a circular orbit of radius 7.0 × 10⁶ m around Earth (mass 6.0 × 10²⁴ kg). Calculate its orbital speed and kinetic energy.,"7.5 km/s, 1.4 × 10⁹ J","6.0 km/s, 9.0 × 10⁸ J","7.1 km/s, 1.3 × 10⁹ J","7.9 km/s, 1.6 × 10⁹ J",C,v = √(GM/r) = √(6.67e-11 × 6.0e24 / 7.0e6) ≈ 7.1 km/s. KE = 0.5 × m × v² = 0.5 × 500 × (7100)² ≈ 1.26 × 10⁹ J.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
Calculate the gravitational potential energy of a 1000 kg satellite in a circular orbit 300 km above Earth's surface (radius = 6.37 × 10⁶ m).,-6.3 × 10⁹ J,-5.8 × 10⁹ J,-6.7 × 10⁹ J,-7.1 × 10⁹ J,A,r = 6.37e6 + 300e3 = 6.67e6 m. U = -GMm/r = -6.67e-11×6.0e24×1000 / 6.67e6 ≈ -6.3 × 10⁹ J.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
Determine the period of a satellite in a 2.0 × 10⁷ m orbit around Earth (mass 6.0 × 10²⁴ kg).,8.4 hours,12.0 hours,6.2 hours,10.4 hours,B,T = 2π√(r³/GM) = 2π√((2.0e7)³ / (6.67e-11 × 6.0e24)) ≈ 4.3e4 s ≈ 12.0 hours.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
A planet orbits a star with mass 2.0 × 10³⁰ kg at a radius of 1.5 × 10¹¹ m. Find its orbital speed and centripetal force per unit mass.,"30 km/s, 0.006 N/kg","29.8 km/s, 0.0059 N/kg","27.5 km/s, 0.0062 N/kg","25 km/s, 0.0054 N/kg",B,v = √(GM/r) = √(6.67e-11 × 2.0e30 / 1.5e11) ≈ 29.8 km/s. a = v²/r ≈ (2.98e4)² / 1.5e11 ≈ 0.0059 N/kg.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
"Calculate the escape velocity from the Moon (mass 7.4 × 10²² kg, radius 1.7 × 10⁶ m).",1.6 km/s,2.4 km/s,3.2 km/s,2.1 km/s,B,v = √(2GM/r) = √(2×6.67e-11×7.4e22 / 1.7e6) ≈ 2.4 km/s.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
A 400 kg satellite in orbit has a total mechanical energy of -3.2 × 10⁹ J. What is its orbital radius?,8.3 × 10⁶ m,7.5 × 10⁶ m,6.9 × 10⁶ m,6.3 × 10⁶ m,A,E = -GMm/(2r) ⇒ r = -GMm/(2E) = -6.67e-11×6.0e24×400 / (2×-3.2e9) ≈ 8.3 × 10⁶ m.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
Find the change in gravitational potential when moving a 5 kg mass from Earth's surface to 400 km altitude.,1.8 × 10⁶ J,2.0 × 10⁶ J,2.2 × 10⁶ J,2.5 × 10⁶ J,C,ΔV = GM(1/R - 1/(R+h)) × m ≈ 6.67e-11×6e24(1/6.37e6 - 1/6.77e6) × 5 ≈ 2.2 × 10⁶ J.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
A geostationary satellite orbits Earth once every 24 hours. Calculate its orbital radius.,3.5 × 10⁷ m,4.2 × 10⁷ m,3.0 × 10⁷ m,3.8 × 10⁷ m,A,T = 86400 s. Use r³ = GMT² / (4π²) ⇒ r = (6.67e-11×6e24×86400² / 4π²)^(1/3) ≈ 3.5 × 10⁷ m.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
Calculate the work needed to move a 10 kg mass from 6.4 × 10⁶ m to 1.0 × 10⁷ m from Earth's center.,1.4 × 10⁷ J,2.1 × 10⁷ J,1.9 × 10⁷ J,2.3 × 10⁷ J,C,ΔU = GMm(1/r1 - 1/r2) = 6.67e-11×6e24×10 (1/6.4e6 - 1e7) ≈ 1.9 × 10⁷ J.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
A 1000 kg satellite orbits at 3.0 × 10⁷ m. Find its gravitational field strength and compare to Earth's surface.,"2.2 N/kg, about 1/4 of surface","3.3 N/kg, about 1/3 of surface","4.4 N/kg, about 1/2 of surface","1.1 N/kg, about 1/6 of surface",A,g = GM/r² = 6.67e-11×6e24 / (3.0e7)² ≈ 2.2 N/kg. Surface g = 9.8 ⇒ ratio ≈ 1/4.,Fields,Gravitational Fields and Orbits,gravity;gravitational field;orbits;escape velocity;potential energy,AQA;OCR;Eduqas;Edexcel,hardcore
