topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Magnetic Fields and Forces,magnetic field;current;wire;circular,Eduqas;AQA;OCR;Edexcel,What is the shape of the magnetic field around a straight current-carrying wire?,Radial,Linear,Circular,Elliptical,C,The magnetic field around a straight wire forms concentric circles centered on the wire.,easy
Fields,Magnetic Fields and Forces,magnetic field;direction;right-hand rule,Eduqas;AQA;OCR;Edexcel,What rule is used to determine the direction of the magnetic field around a current-carrying wire?,Right-hand grip rule,Fleming’s left-hand rule,Faraday’s law,Coulomb’s law,A,The right-hand grip rule shows the direction of the magnetic field around a current-carrying wire.,medium
Fields,Magnetic Fields and Forces,magnetic flux density;unit;tesla,Eduqas;AQA;OCR;Edexcel,What is the unit of magnetic flux density?,Tesla,Gauss,Weber,Newton,A,Magnetic flux density is measured in tesla (T).,easy
Fields,Magnetic Fields and Forces,magnetic force;charged particle;direction,Eduqas;AQA;OCR;Edexcel,Which direction does the magnetic force act on a moving charged particle in a magnetic field?,Along the direction of motion,Opposite to the magnetic field,Perpendicular to both velocity and magnetic field,No force acts,C,The magnetic force on a moving charge is always perpendicular to both its velocity and the magnetic field.,medium
Fields,Magnetic Fields and Forces,fleming;left-hand rule;motor,Eduqas;AQA;OCR;Edexcel,What does Fleming’s left-hand rule describe?,The direction of force on a current in a magnetic field,The direction of induced current,The field around a magnet,The torque in a motor,A,Fleming’s left-hand rule determines the direction of the force on a current-carrying conductor in a magnetic field.,medium
Fields,Magnetic Fields and Forces,magnetic force;calculation;wire,Eduqas;AQA;OCR;Edexcel,A wire carries 3 A at right angles to a 0.5 T magnetic field. What is the force on a 0.2 m length of the wire?,0.3 N,0.6 N,1.5 N,0.1 N,A,F = BIL = 0.5 × 3 × 0.2 = 0.3 N.,medium
Fields,Magnetic Fields and Forces,magnetic force;angle;sin,Eduqas;AQA;OCR;Edexcel,What happens to the magnetic force on a wire if the angle between current and magnetic field is 0°?,Force is maximum,Force is zero,Force doubles,Force reverses direction,B,"Magnetic force F = BILsinθ, and if θ = 0°, sinθ = 0 → F = 0.",medium
Fields,Magnetic Fields and Forces,charged particle;right-hand rule;magnetic force,Eduqas;AQA;OCR;Edexcel,What is the direction of the magnetic force on a positive charge moving through a magnetic field?,Same as magnetic field,Opposite to velocity,Perpendicular to velocity and field (using left-hand rule),Perpendicular to velocity and field (using right-hand rule),D,"Use the right-hand rule for a positive charge: thumb = velocity, fingers = field, palm = force.",medium
Fields,Magnetic Fields and Forces,magnetic force;variables,Eduqas;AQA;OCR;Edexcel,Which factor does NOT affect the magnetic force on a wire in a field?,Length of wire,Current in wire,Strength of field,Material of the wire,D,"Force depends on B, I, and L, but not the wire’s material.",easy
Fields,Magnetic Fields and Forces,magnetic force;motor;device,Eduqas;AQA;OCR;Edexcel,Which of the following devices uses magnetic force to produce motion?,Capacitor,Transformer,Electric motor,Thermistor,C,Electric motors rely on magnetic forces acting on current-carrying wires to produce torque and motion.,easy
