topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Magnetic Fields and Forces,moving charge; magnetic force; Lorentz force,AQA;OCR;Eduqas;Edexcel,A proton moves at 2.0 × 10⁶ m/s perpendicular to a magnetic field of 0.50 T. What is the magnetic force on it?,1.7 × 10⁻¹³ N,1.6 × 10⁻¹³ N,2.4 × 10⁻¹³ N,8.0 × 10⁻¹⁴ N,B,F = qvB = 1.6 × 10⁻¹⁹ × 2.0 × 10⁶ × 0.50 = 1.6 × 10⁻¹³ N.,hardcore
Fields,Magnetic Fields and Forces,radius; circular motion; mass; charge,AQA;OCR;Eduqas;Edexcel,An electron moves at 3.0 × 10⁶ m/s in a magnetic field of 0.40 T. What is the radius of its circular path?,3.42e-05 m,5.12e-05 m,1.04e-03 m,4.27e-05 m,D,r = mv / qB = 9.11e–31 × 3.0e6 / (1.6e–19 × 0.40) = 4.27e-05 m.,hardcore
Fields,Magnetic Fields and Forces,work done; magnetic force; perpendicular,AQA;OCR;Eduqas;Edexcel,What is the work done by a magnetic field on a charged particle moving perpendicular to the field?,1.6 × 10⁻¹⁹ J,1.0 × 10⁻¹⁹ J,0 J,cannot be determined,C,The magnetic force does no work as it is always perpendicular to displacement. So W = 0 J.,hardcore
Fields,Magnetic Fields and Forces,wire; magnetic force; angle,AQA;OCR;Eduqas;Edexcel,A 0.50 m wire carries 4.0 A perpendicular to a 0.25 T magnetic field. What is the magnetic force on the wire?,0.25 N,0.55 N,0.75 N,0.50 N,D,F = ILB sinθ = 4.0 × 0.50 × 0.25 × sin(90°) = 0.50 N.,hardcore
Fields,Magnetic Fields and Forces,Fleming; direction; motor effect,AQA;OCR;Eduqas;Edexcel,A positive charge moves rightward in a downward magnetic field. What is the direction of the magnetic force?,Out of the page,Into the page,To the left,Upwards,B,"Use Fleming’s left-hand rule: First (field down), Second (current right), then Thumb points into the page.",hardcore
Fields,Magnetic Fields and Forces,units; flux density; Tesla,AQA;OCR;Eduqas;Edexcel,What are the SI units of magnetic flux density?,T (tesla),V·s,A/m,N/C,A,Magnetic flux density B has units of Tesla (T) = N·s/C·m = kg/s²·A.,hard
Fields,Magnetic Fields and Forces,relationship; velocity; magnetic force,AQA;OCR;Eduqas;Edexcel,"If a particle moves perpendicular to a magnetic field, how is the force affected by increasing velocity?",Independent,Exponentially related,Proportional,Inversely proportional,C,F = qvB sinθ ⇒ force is directly proportional to speed if q and B are constant.,hard
Fields,Magnetic Fields and Forces,zero force; charge; direction; conditions,AQA;OCR;Eduqas;Edexcel,Under which conditions is the magnetic force on a particle zero?,All of these,Field is zero,Particle moves parallel to B,Particle is neutral,A,"Any of these conditions (zero B, neutral particle, or motion parallel to B) gives zero magnetic force.",hard
Fields,Magnetic Fields and Forces,direction; charge sign; motion; force,AQA;OCR;Eduqas;Edexcel,Two particles with equal but opposite charge move at the same velocity perpendicular to a magnetic field. How do their magnetic forces compare?,Same magnitude and direction,Different magnitude,"Same magnitude, opposite direction",Zero for both,C,F = qvB ⇒ opposite signs give forces in opposite directions but equal magnitudes.,hard
Fields,Magnetic Fields and Forces,electron; magnetic field; motion path,AQA;OCR;Eduqas;Edexcel,An electron moves perpendicular to a uniform magnetic field. What path does it follow?,Parabolic,Oscillating,Circular,Straight,C,A constant perpendicular magnetic force causes uniform circular motion.,hard
