topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Transformers and Power Transmission,turns ratio; voltage,AQA;OCR;Eduqas;Edexcel,A transformer has 1000 turns on the primary coil and a primary voltage of 230 V. What should the number of turns on the secondary coil be to produce 23 V?,200,50,100,150,C,Vs/Vp = Ns/Np ⇒ Ns = Np × Vs / Vp = 1000 × 23 / 230 = 100.,hardcore
Fields,Transformers and Power Transmission,step-up; current; power conservation,AQA;OCR;Eduqas;Edexcel,"In a step-up transformer, the primary current is 4.0 A and primary voltage is 110 V. If the secondary voltage is 220 V, what is the secondary current?",1.60 A,2.50 A,2.40 A,2.00 A,D,Assuming 100% efficiency: VpIp = VsIs ⇒ Is = Ip × Vp / Vs = 4.0 × 110 / 220 = 2.00 A.,hardcore
Fields,Transformers and Power Transmission,power loss; resistive heating,AQA;OCR;Eduqas;Edexcel,A current of 200 A flows through transmission lines with total resistance 0.50 Ω. What is the power lost as heat?,19950 W,30000 W,20050 W,20000 W,D,P = I²R = 200² × 0.50 = 20000 W.,hardcore
Fields,Transformers and Power Transmission,efficiency; real transformer,AQA;OCR;Eduqas;Edexcel,A transformer draws 0.50 A at 240 V and delivers 9.5 A at 12 V. What is its efficiency?,90.0 %,100.0 %,76.0 %,95.0 %,D,Efficiency = VsIs / VpIp × 100 = (12 × 9.5)/(240 × 0.50) × 100 = 95.0 %.,hardcore
Fields,Transformers and Power Transmission,power loss; transmission; voltage,AQA;OCR;Eduqas;Edexcel,Why is electricity transmitted at high voltage over long distances?,"It reduces current, lowering I²R losses",It increases current,It reduces frequency,It increases resistance,A,"Transmitting at high voltage reduces current for a given power, so I²R losses in cables are greatly reduced.",hardcore
Fields,Transformers and Power Transmission,domestic; voltage reduction,AQA;OCR;Eduqas;Edexcel,What type of transformer is used to supply domestic appliances from the national grid?,Step-down,Step-up,Auto,Induction,A,A step-down transformer reduces the grid voltage (typically 11–33 kV) to 230 V for home use.,hard
Fields,Transformers and Power Transmission,step-up; current; voltage,AQA;OCR;Eduqas;Edexcel,What is the purpose of a step-up transformer in power transmission?,Increases voltage to reduce current,Reduces resistance,Increases current to reduce voltage,Increases power,A,"Step-up transformers increase voltage, which reduces current and hence reduces I²R losses.",hard
Fields,Transformers and Power Transmission,voltage; turns ratio,AQA;OCR;Eduqas;Edexcel,Which equation correctly relates the voltages and number of turns in a transformer?,Vs/Vp = Ip/Is,Vs/Vp = Ns/Np,Vs/Vp = Is/Ip,Vs/Vp = Np/Ns,B,Transformer equation: Vs/Vp = Ns/Np.,hard
Fields,Transformers and Power Transmission,efficiency; losses,AQA;OCR;Eduqas;Edexcel,Which of the following is a major source of inefficiency in transformers?,Too few turns,Low input voltage,Excessive frequency,Eddy currents in the core,D,Eddy currents in the iron core cause energy loss as heat — often reduced by using laminated cores.,hard
Fields,Transformers and Power Transmission,ideal; power conservation,AQA;OCR;Eduqas;Edexcel,What is assumed in the ideal transformer model?,Energy is gained,Power in = power out,Voltage in = voltage out,Current in = current out,B,"An ideal transformer has no energy losses, so input power equals output power: VpIp = VsIs.",hard
