topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Fields,Transformers and Power Transmission,transformer;induction;principle,Eduqas;AQA;OCR;Edexcel,What principle allows a transformer to work?,Capacitive coupling,Resonance,Electromagnetic induction,Static electricity,C,Transformers work on the principle of electromagnetic induction — changing magnetic flux induces emf.,easy
Fields,Transformers and Power Transmission,transformer;core;magnetic flux,Eduqas;AQA;OCR;Edexcel,What is the role of the core in a transformer?,Generate electricity,Increase voltage directly,Transfer magnetic flux between coils,Convert AC to DC,C,The iron core provides a path for magnetic flux between the primary and secondary coils.,easy
Fields,Transformers and Power Transmission,transformer;equation;turns,Eduqas;AQA;OCR;Edexcel,What is the transformer equation relating voltage and number of turns?,Vp/Vs = Ns/Np,Vp/Vs = Np/Ns,Vp/Vs = Ns × Np,Vp/Vs = Vp/Vs,B,"Vp/Vs = Np/Ns, where V = voltage and N = number of turns in primary/secondary.",medium
Fields,Transformers and Power Transmission,transformer;step-up;voltage,Eduqas;AQA;OCR;Edexcel,Which type of transformer increases voltage?,Step-down,Step-up,Power,Oscillating,B,"A step-up transformer has more turns on the secondary coil, increasing output voltage.",easy
Fields,Transformers and Power Transmission,transformer;calculation;voltage ratio,Eduqas;AQA;OCR;Edexcel,"If a transformer has 500 turns on the primary and 100 turns on the secondary, what is the voltage ratio?",5:1,1:5,10:1,1:10,A,Vp/Vs = Np/Ns = 500/100 = 5:1,medium
Fields,Transformers and Power Transmission,transformer;power loss;transmission,Eduqas;AQA;OCR;Edexcel,Why are transformers used in power transmission?,To reduce resistance,To change AC to DC,To minimize power loss over long distances,To increase current,C,High voltages reduce current and hence power losses due to resistance: P = I²R.,medium
Fields,Transformers and Power Transmission,transformer;ideal;power conservation,Eduqas;AQA;OCR;Edexcel,Which quantity remains constant in an ideal transformer?,Voltage,Current,Power,Resistance,C,"An ideal transformer is 100% efficient, so input power = output power.",medium
Fields,Transformers and Power Transmission,step-down;turns;transformer,Eduqas;AQA;OCR;Edexcel,"In a step-down transformer, which coil has more turns?",Primary,Secondary,Equal,None,A,"In a step-down transformer, the primary coil has more turns to reduce the voltage in the secondary.",easy
Fields,Transformers and Power Transmission,transformer;calculation;current,Eduqas;AQA;OCR;Edexcel,"A transformer has 240 V input and steps voltage down to 24 V. If it draws 0.5 A input, what is the output current (ideal)?",5 A,0.05 A,0.5 A,2 A,A,Pinput = Poutput → VpIp = VsIs → 240 × 0.5 = 24 × Is → Is = 5 A,hard
Fields,Transformers and Power Transmission,transformer;ac;induction,Eduqas;AQA;OCR;Edexcel,Why is AC used in transformers instead of DC?,AC is easier to store,AC changes magnetic flux needed for induction,DC causes less heating,DC is safer at high voltages,B,"AC continuously changes, creating a varying magnetic field required for electromagnetic induction.",medium
