topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Materials,Hooke’s Law and Elasticity,hooke’s law;force;extension;elastic limit,Eduqas;AQA;OCR;Edexcel,What does Hooke’s Law state?,Stress is proportional to strain,Force is proportional to extension within the elastic limit,Energy is conserved in a stretched spring,Pressure is inversely proportional to volume,B,"Hooke’s Law states that the extension of an elastic object is proportional to the force applied, up to the elastic limit.",easy
Materials,Hooke’s Law and Elasticity,hooke’s law;formula;spring constant,Eduqas;AQA;OCR;Edexcel,What is the formula associated with Hooke’s Law?,F = kx,F = ma,F = 1/x,F = ½kx²,A,"Hooke’s Law: F = kx, where F is force, k is the spring constant, and x is extension.",easy
Materials,Hooke’s Law and Elasticity,spring constant;units;n/m,Eduqas;AQA;OCR;Edexcel,What is the unit of the spring constant (k) in Hooke’s Law?,Joules,N/m,N·m,Pascal,B,Spring constant k is measured in newtons per metre (N/m).,easy
Materials,Hooke’s Law and Elasticity,spring constant;calculation;force;extension,Eduqas;AQA;OCR;Edexcel,"If a spring stretches 0.1 m under a force of 5 N, what is the spring constant?",50 N/m,0.5 N/m,5 N/m,10 N/m,D,k = F/x = 5 / 0.1 = 50 N/m.,medium
Materials,Hooke’s Law and Elasticity,elasticity;material property;deformation,Eduqas;AQA;OCR;Edexcel,What physical property defines a material's ability to return to its original shape after deformation?,Plasticity,Stiffness,Elasticity,Hardness,C,Elasticity refers to the ability of a material to return to its original shape after removing the force.,easy
Materials,Hooke’s Law and Elasticity,elastic limit;plastic deformation;material,Eduqas;AQA;OCR;Edexcel,What does the elastic limit of a material represent?,The maximum length a material can reach,The point beyond which plastic deformation occurs,The yield strength of the material,The stiffness of the material,B,"Beyond the elastic limit, the material will no longer return to its original shape — plastic deformation begins.",medium
Materials,Hooke’s Law and Elasticity,hooke’s law;graph;force-extension,Eduqas;AQA;OCR;Edexcel,What shape is the force-extension graph of a spring that obeys Hooke’s Law?,Parabola,Straight line,Exponential,Hyperbola,B,A linear relationship (straight line) indicates that the spring obeys Hooke’s Law.,easy
Materials,Hooke’s Law and Elasticity,spring;extension;proportionality,Eduqas;AQA;OCR;Edexcel,What happens to the extension of a spring if both the force and spring constant are doubled?,It halves,It stays the same,It doubles,It becomes four times greater,B,Extension x = F/k → doubling both F and k keeps the ratio (x) unchanged.,medium
Materials,Hooke’s Law and Elasticity,spring constant;material;structure,Eduqas;AQA;OCR;Edexcel,Which of the following affects the spring constant of a material?,The material and dimensions of the spring,Temperature only,Gravitational field strength,External pressure,A,"The spring constant depends on the material, length, diameter, and number of coils.",medium
Materials,Hooke’s Law and Elasticity,hooke’s law;elastic limit;validity,Eduqas;AQA;OCR;Edexcel,Why is Hooke’s Law only valid up to a certain point?,Because mass is not constant,Because the object becomes too heavy,Because most materials behave plastically beyond the elastic limit,Because force cannot exceed velocity,C,"Hooke’s Law only applies in the elastic region — past that, deformation becomes plastic.",medium
