topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Materials,Springs in Series and Parallel,springs;series;spring constant;combined,Eduqas;AQA;OCR;Edexcel,"When two identical springs are connected in series, what happens to the overall spring constant?",It doubles,It halves,It stays the same,It becomes zero,B,"For springs in series, 1/k_total = 1/k + 1/k → k_total = k/2.",medium
Materials,Springs in Series and Parallel,springs;parallel;spring constant;combined,Eduqas;AQA;OCR;Edexcel,"When two identical springs are connected in parallel, what happens to the overall spring constant?",It doubles,It halves,It stays the same,It becomes zero,A,"For springs in parallel, k_total = k + k = 2k.",medium
Materials,Springs in Series and Parallel,springs;series;formula,Eduqas;AQA;OCR;Edexcel,What is the total spring constant for two springs of spring constants k₁ and k₂ in series?,k₁ + k₂,(k₁ + k₂)/2,(k₁ × k₂)/(k₁ + k₂),k₁k₂/(k₁ - k₂),C,1/k_total = 1/k₁ + 1/k₂ → k_total = (k₁ × k₂)/(k₁ + k₂).,medium
Materials,Springs in Series and Parallel,springs;parallel;combined,Eduqas;AQA;OCR;Edexcel,What is the total spring constant for two springs of spring constants k₁ and k₂ in parallel?,k₁ + k₂,k₁k₂/(k₁ + k₂),k₁ - k₂,(k₁ + k₂)/2,A,"For parallel springs, the total spring constant is the sum: k_total = k₁ + k₂.",easy
Materials,Springs in Series and Parallel,springs;parallel;stiffness;extension,Eduqas;AQA;OCR;Edexcel,What is the advantage of using two springs in parallel?,Reduces the force required for extension,Increases the extension for a given force,Reduces the extension for a given force,Makes the system unstable,C,"Parallel springs increase total stiffness, so less extension occurs for the same force.",medium
Materials,Springs in Series and Parallel,spring;cut;length;stiffness,Eduqas;AQA;OCR;Edexcel,A spring of spring constant 100 N/m is cut in half. What is the new spring constant of each half?,50 N/m,100 N/m,200 N/m,25 N/m,C,Shorter springs are stiffer: halving the length doubles the spring constant.,hard
Materials,Springs in Series and Parallel,springs;parallel;extension;force,Eduqas;AQA;OCR;Edexcel,Which configuration results in the smallest overall extension for a given force?,Single spring,Two springs in series,Two springs in parallel,Three springs in series,C,"Springs in parallel increase total stiffness, resulting in smaller extension.",medium
Materials,Springs in Series and Parallel,springs;series;calculation,Eduqas;AQA;OCR;Edexcel,"If a 20 N force stretches two identical springs in series by 0.2 m total, what is the spring constant of each spring?",50 N/m,100 N/m,200 N/m,25 N/m,A,"Total extension is shared equally → each spring stretches 0.1 m: F = kx → k = 20 / 0.1 = 200 N/m. But in series, total k = 100 N/m, so each spring is 200 N/m.",hard
Materials,Springs in Series and Parallel,spring;energy;parallel;storage,Eduqas;AQA;OCR;Edexcel,What happens to the energy stored when two springs are combined in parallel and stretched?,It is shared equally between them,Each spring stores more energy,Total energy increases,Each spring stores less energy than alone,A,"If identical, the force is shared equally, and each stores equal energy: E = ½kx².",medium
Materials,Springs in Series and Parallel,springs;conservation;energy,Eduqas;AQA;OCR;Edexcel,What quantity is always conserved when combining springs in mechanical systems?,Spring constant,Force,Displacement,Energy,D,Total energy (elastic potential) is conserved in ideal spring systems.,easy
