topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Materials,"Stress, Strain, Young’s Modulus",stress;definition;force;area,Eduqas;AQA;OCR;Edexcel,What is the definition of stress in a material?,Force per unit volume,Force per unit area,Extension per unit force,Strain per unit force,B,"Stress = force / area, and it is measured in Pascals (Pa).",easy
Materials,"Stress, Strain, Young’s Modulus",strain;definition;length;extension,Eduqas;AQA;OCR;Edexcel,What is the definition of strain?,Stress divided by Young’s modulus,Extension per unit length,Force per unit area,Length per unit extension,B,Strain is a dimensionless quantity: strain = extension / original length.,easy
Materials,"Stress, Strain, Young’s Modulus",young's modulus;formula;stress;strain,Eduqas;AQA;OCR;Edexcel,What is the formula for Young’s modulus?,E = strain / stress,E = stress / strain,E = force × length,E = force / extension,B,Young’s modulus (E) is defined as stress divided by strain: E = σ / ε.,easy
Materials,"Stress, Strain, Young’s Modulus",young's modulus;units;pascal,Eduqas;AQA;OCR;Edexcel,What is the unit of Young’s modulus?,N,N/m,J,Pa,D,Young’s modulus has the same unit as stress — Pascals (Pa).,easy
Materials,"Stress, Strain, Young’s Modulus",strain;calculation;missing data,Eduqas;AQA;OCR;Edexcel,A material stretches 0.005 m under a stress of 1 × 10⁶ Pa. What is the strain?,0.005,5 × 10⁻³,5 × 10⁻⁶,It cannot be calculated without original length,D,"Strain = extension / original length. Without the original length, it cannot be calculated.",medium
Materials,"Stress, Strain, Young’s Modulus",young's modulus;ratio;proportional,Eduqas;AQA;OCR;Edexcel,"If stress is doubled and strain also doubles, what happens to Young’s modulus?",It doubles,It halves,It remains the same,It quadruples,C,E = stress / strain → doubling both keeps the ratio (and E) constant.,medium
Materials,"Stress, Strain, Young’s Modulus",stress-strain;graph;gradient;modulus,Eduqas;AQA;OCR;Edexcel,Which graph shows a linear region with a constant slope equal to Young’s modulus?,Force–extension,Stress–strain,Strain–time,Stress–time,B,The gradient of the stress–strain graph in the linear region is equal to Young’s modulus.,medium
Materials,"Stress, Strain, Young’s Modulus",young's modulus;steel;value,Eduqas;AQA;OCR;Edexcel,Which of the following would be a typical value for Young’s modulus of steel?,2 × 10³ Pa,2 × 10⁶ Pa,2 × 10⁹ Pa,2 × 10¹¹ Pa,D,"Steel has a high Young’s modulus, typically around 2 × 10¹¹ Pa.",medium
Materials,"Stress, Strain, Young’s Modulus",gradient;stiffness;modulus,Eduqas;AQA;OCR;Edexcel,What does a steep gradient in the stress–strain graph indicate?,The material is weak,The material is elastic,The material has a low Young’s modulus,The material is stiff,D,A steep gradient means high stiffness and thus a large Young’s modulus.,medium
Materials,"Stress, Strain, Young’s Modulus",experiment;young's modulus;method,Eduqas;AQA;OCR;Edexcel,Young’s modulus can be determined experimentally using:,A pendulum and stopwatch,A pressure gauge and thermometer,"A long wire, known force, and measured extension",A diffraction grating and light source,C,The modulus is often measured using force-extension data from a wire of known dimensions.,medium
