topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Measurements and Uncertainties,Graphing and Data Interpretation,graph;distance-time;gradient;speed,Eduqas;AQA;OCR;Edexcel,What does the gradient of a distance-time graph represent?,Distance,Acceleration,Speed,Force,C,The gradient of a distance-time graph gives the speed.,easy
Measurements and Uncertainties,Graphing and Data Interpretation,graph;gradient;interpretation,Eduqas;AQA;OCR;Edexcel,"In a straight-line graph, what does a steeper gradient indicate?",Lower speed,Greater uncertainty,Higher rate of change,Inaccurate results,C,A steeper gradient indicates a higher rate of change of the dependent variable.,easy
Measurements and Uncertainties,Graphing and Data Interpretation,graph;axes;independent,Eduqas;AQA;OCR;Edexcel,Which variable is usually plotted on the x-axis of a graph?,Dependent variable,Independent variable,Control variable,Uncertainty,B,The independent variable is plotted on the x-axis.,easy
Measurements and Uncertainties,Graphing and Data Interpretation,graph;velocity-time;area;distance,Eduqas;AQA;OCR;Edexcel,What does the area under a velocity-time graph represent?,Velocity,Distance travelled,Acceleration,Force,B,Area under a velocity-time graph gives the distance travelled.,easy
Measurements and Uncertainties,Graphing and Data Interpretation,graph;error bars;uncertainty,Eduqas;AQA;OCR;Edexcel,"When plotting experimental data, error bars represent:",Systematic errors,Mean values,Uncertainties in data,The trend line,C,Error bars show the uncertainty associated with each data point.,medium
Measurements and Uncertainties,Graphing and Data Interpretation,best fit;line;trend,Eduqas;AQA;OCR;Edexcel,What is the best-fit line on a graph used for?,Connecting all data points,Extrapolating and identifying trends,Hiding anomalies,Adding decoration,B,The best-fit line helps show trends and can be used to interpolate or extrapolate values.,medium
Measurements and Uncertainties,Graphing and Data Interpretation,hooke's law;spring constant;gradient,Eduqas;AQA;OCR;Edexcel,A linear graph of force vs. extension has a gradient of 200 N/m. What physical quantity does this represent?,Mass,Stiffness (spring constant),Work done,Pressure,B,"In Hooke's law, F = kx → gradient (F/x) = k, the spring constant.",medium
Measurements and Uncertainties,Graphing and Data Interpretation,graphing;accuracy;axes;scaling,Eduqas;AQA;OCR;Edexcel,Which of the following improves accuracy in plotting data?,Using very small graph paper,Avoiding repeated measurements,"Using clear, labelled axes and appropriate scales",Drawing freehand curves through data,C,Clear axis labelling and appropriate scales are essential for accurate graph plotting.,easy
Measurements and Uncertainties,Graphing and Data Interpretation,outliers;data interpretation;analysis,Eduqas;AQA;OCR;Edexcel,What should you do if your graph shows a clear outlier?,Ignore it and draw the best-fit line through other points,Remove it without explanation,Circle it and explain in the analysis,Change the data to make it fit,C,"Outliers should be noted and discussed, not deleted or changed without justification.",medium
Measurements and Uncertainties,Graphing and Data Interpretation,relationship;graph;linear,Eduqas;AQA;OCR;Edexcel,"If you double the independent variable and the dependent variable also doubles, what is the relationship?",Inverse,Exponential,Linear,Quadratic,C,"If both variables double, it indicates a linear relationship.",easy
