topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Measurements and Uncertainties,Uncertainty and Error Analysis,absolute uncertainty;definition;error,Eduqas;AQA;OCR;Edexcel,What is meant by absolute uncertainty?,The percentage of the measured value,The smallest measurement that can be made,The total possible error in a measurement,The change in measurement over time,C,"Absolute uncertainty is the total possible error in a measurement, typically quoted with the unit.",easy
Measurements and Uncertainties,Uncertainty and Error Analysis,percentage uncertainty;formula;error,Eduqas;AQA;OCR;Edexcel,How do you calculate percentage uncertainty?,(absolute uncertainty × 100) / measured value,measured value / absolute uncertainty,absolute uncertainty × measured value,absolute uncertainty – measured value,A,Percentage uncertainty = (absolute uncertainty / measured value) × 100%.,medium
Measurements and Uncertainties,Uncertainty and Error Analysis,uncertainty;percentage;length,Eduqas;AQA;OCR;Edexcel,You measure a length as 20.0 ± 0.5 cm. What is the percentage uncertainty?,0.5%,2.5%,5%,10%,B,Percentage uncertainty = (0.5 / 20.0) × 100 = 2.5%.,medium
Measurements and Uncertainties,Uncertainty and Error Analysis,systematic error;bias;consistency,Eduqas;AQA;OCR;Edexcel,Which type of error affects measurements in one direction consistently?,Random error,Absolute error,Systematic error,Percentage error,C,Systematic errors consistently affect measurements in one direction due to faulty instruments or methods.,easy
Measurements and Uncertainties,Uncertainty and Error Analysis,random error;reduction;average,Eduqas;AQA;OCR;Edexcel,Which of the following helps reduce random errors?,Using the same instrument,Taking multiple measurements and averaging,Calibrating instruments,Using a different unit,B,Repeating measurements and averaging helps reduce random errors.,easy
Measurements and Uncertainties,Uncertainty and Error Analysis,combined uncertainty;percentage;product,Eduqas;AQA;OCR;Edexcel,You multiply two measurements: 5.0 ± 0.2 and 3.0 ± 0.1. What is the percentage uncertainty of the result?,7%,10%,13.3%,2%,C,Total % uncertainty = (0.2/5.0 + 0.1/3.0) × 100 ≈ 4% + 3.3% = 7.3% → round to ~7%.,hard
Measurements and Uncertainties,Uncertainty and Error Analysis,error;random vs systematic;causes,Eduqas;AQA;OCR;Edexcel,Which of the following is NOT a cause of random error?,Reaction time,Electrical noise,Instrument calibration,Air currents,C,"Instrument calibration errors cause systematic, not random, errors.",medium
Measurements and Uncertainties,Uncertainty and Error Analysis,significant figures;uncertainty;notation,Eduqas;AQA;OCR;Edexcel,Which of these correctly reports a measurement with appropriate significant figures: 4.56 ± 0.1 or 4.56 ± 0.10?,4.56 ± 0.1,4.56 ± 0.10,Either,Neither,B,Uncertainty should have the same number of decimal places as the measured value. 0.10 matches 4.56.,medium
Measurements and Uncertainties,Uncertainty and Error Analysis,systematic error;reduction;method,Eduqas;AQA;OCR;Edexcel,Which method is appropriate to reduce the impact of systematic errors?,Use an average,Take more measurements,Change the instrument or method,Increase the resolution,C,Systematic errors are reduced by changing the instrument or method.,medium
Measurements and Uncertainties,Uncertainty and Error Analysis,uncertainty;importance;reliability,Eduqas;AQA;OCR;Edexcel,Why is it important to estimate uncertainty in experimental measurements?,To avoid using calculators,To improve measurement speed,To evaluate the reliability and accuracy,To increase values artificially,C,Estimating uncertainty helps assess the reliability and accuracy of results.,easy
