"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Mechanics","Circular Motion","centripetal force;friction;car turning","Eduqas;AQA;OCR;Edexcel","What provides the centripetal force for a car turning around a bend?","The engine force","The gravitational force","Friction between tyres and road","The normal contact force","C","The friction between tyres and road provides the centripetal force necessary for circular motion.","medium"
"Mechanics","Circular Motion","centripetal acceleration;direction;circular motion","Eduqas;AQA;OCR;Edexcel","Which direction does centripetal acceleration always act?","Along the path of motion","Away from the centre","Towards the centre of the circle","Tangential to the circle","C","Centripetal acceleration always acts towards the centre of the circular path.","easy"
"Mechanics","Circular Motion","centripetal force;formula;mv²/r","Eduqas;AQA;OCR;Edexcel","What is the formula for centripetal force?","F = mv²/r","F = mr²/v","F = mv/r²","F = v²/mr","A","The centripetal force is F = mv²/r, where m is mass, v is speed and r is radius.","easy"
"Mechanics","Circular Motion","centripetal force;calculation;circle","Eduqas;AQA;OCR;Edexcel","A 0.5 kg object moves in a circle of radius 2 m at 4 m/s. What is the centripetal force?","1 N","2 N","4 N","8 N","D","F = mv²/r = 0.5 × 16 / 2 = 8 N.","medium"
"Mechanics","Circular Motion","centripetal force;speed;proportionality","Eduqas;AQA;OCR;Edexcel","What happens to the required centripetal force if the speed of an object is doubled?","It is halved","It stays the same","It doubles","It quadruples","D","Since F = mv²/r, if v is doubled, force increases by a factor of 4.","medium"
"Mechanics","Circular Motion","velocity;speed;circular motion","Eduqas;AQA;OCR;Edexcel","Which of the following is NOT true about circular motion?","The speed is constant","The velocity is constant","There is a net force acting towards the centre","The direction of velocity continuously changes","B","Velocity is not constant because direction changes even if speed remains constant.","easy"
"Mechanics","Circular Motion","angular velocity;definition;formula","Eduqas;AQA;OCR;Edexcel","The angular velocity (ω) is defined as:","ω = v × r","ω = v / r","ω = r / v","ω = v² / r","B","Angular velocity is given by ω = v / r.","medium"
"Mechanics","Circular Motion","satellite;orbit;gravity","Eduqas;AQA;OCR;Edexcel","A satellite orbits Earth in a circular path. What force keeps it in orbit?","Rocket thrust","Gravity","Magnetism","Friction with atmosphere","B","Gravity provides the centripetal force keeping the satellite in circular motion.","easy"
"Mechanics","Circular Motion","circular motion;tangential;break","Eduqas;AQA;OCR;Edexcel","A ball is whirled horizontally on a string. What happens if the string suddenly breaks?","It flies inward","It moves in a circle","It flies off tangentially","It stops immediately","C","An object in circular motion moves tangentially if the centripetal force is removed.","medium"
"Mechanics","Circular Motion","centripetal acceleration;direction;uniform motion","Eduqas;AQA;OCR;Edexcel","Which physical quantity is responsible for changing direction in uniform circular motion?","Velocity","Tangential force","Centripetal acceleration","Moment of inertia","C","Centripetal acceleration changes the direction of motion in uniform circular motion.","medium"
