"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Mechanics","Damping and Resonance","damping;oscillation;energy loss","Eduqas;AQA;OCR;Edexcel","What is damping in the context of oscillatory motion?","An increase in oscillation amplitude over time","A force that increases frequency","A resistive force that reduces amplitude over time","A process that creates perpetual motion","C","Damping refers to any effect that gradually reduces the amplitude of oscillations due to energy loss (e.g. friction).","medium"
"Mechanics","Damping and Resonance","critical damping;oscillation;equilibrium","Eduqas;AQA;OCR;Edexcel","Which type of damping allows the system to return to equilibrium without oscillating?","Critical damping","Light damping","Heavy damping","Resonant damping","A","Critical damping returns the system to equilibrium in the shortest time without overshooting or oscillating.","hard"
"Mechanics","Damping and Resonance","resonance;driving frequency;natural frequency","Eduqas;AQA;OCR;Edexcel","What is resonance?","A damping effect where energy is dissipated","When the driving frequency matches the natural frequency causing large amplitude oscillations","A state where friction stops motion","An increase in frequency over time","B","Resonance occurs when an external driving frequency matches the natural frequency, resulting in maximum energy transfer and large oscillations.","medium"
"Mechanics","Damping and Resonance","resonance;wine glass;vibrations","Eduqas;AQA;OCR;Edexcel","Which of the following is an example of resonance?","A car gradually slowing on a slope","A pendulum swinging in air","A wine glass shattering when exposed to sound of specific frequency","A critically damped shock absorber","C","The wine glass resonates with the sound frequency, amplifying vibrations to the point of breaking.","medium"
"Mechanics","Damping and Resonance","heavy damping;oscillations;equilibrium","Eduqas;AQA;OCR;Edexcel","How does heavy damping affect oscillations?","Amplitude gradually increases","Oscillations stop after many cycles","System returns slowly to equilibrium without oscillating","Frequency increases over time","C","Heavy damping removes energy so effectively that the system returns to equilibrium very slowly without oscillating.","medium"
"Mechanics","Damping and Resonance","resonance;graph;amplitude;frequency","Eduqas;AQA;OCR;Edexcel","Which graph best describes amplitude vs frequency in a resonant system?","Linear increase","Parabola","Sharp peak at natural frequency","Flat line","C","At resonance, amplitude peaks sharply when driving frequency equals natural frequency.","hard"
"Mechanics","Damping and Resonance","critical damping;automotive;suspension","Eduqas;AQA;OCR;Edexcel","Which damping is most suitable for automotive suspension to avoid oscillations?","Light damping","No damping","Critical damping","Overdamping","C","Critical damping returns the system to equilibrium quickly without oscillation, ideal for comfort and control in vehicles.","medium"
"Mechanics","Damping and Resonance","light damping;resonance;amplitude","Eduqas;AQA;OCR;Edexcel","What effect does light damping have on a resonant system?","No oscillation occurs","Resonant peak becomes infinitely sharp","Amplitude at resonance is very high","System becomes aperiodic","C","Lightly damped systems still resonate strongly, leading to high amplitudes near natural frequency.","hard"
"Mechanics","Damping and Resonance","resonance;damping;engineering","Eduqas;AQA;OCR;Edexcel","What is the role of damping in reducing resonance risks in bridges or buildings?","It increases natural frequency","It narrows the frequency response","It reduces amplitude at resonance","It increases energy input","C","Damping reduces amplitude at resonance and is used to prevent structural failure in buildings and bridges.","medium"
"Mechanics","Damping and Resonance","overdamping;oscillation;return to rest","Eduqas;AQA;OCR;Edexcel","A system is said to be overdamped when:","It oscillates indefinitely","It returns to equilibrium very slowly without oscillation","It reaches equilibrium with maximum overshoot","It has no restoring force","B","Overdamped systems return to equilibrium without oscillation but take longer than critically damped ones.","hard"
