"topic","subtopic","keywords","exam_boards","question_text","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty"
"Mechanics","Oscillations and SHM","SHM;definition;acceleration;displacement","Eduqas;AQA;OCR;Edexcel","What is meant by simple harmonic motion (SHM)?","Motion with constant speed","Motion with decreasing amplitude","Acceleration is proportional to displacement and directed towards equilibrium","Motion that repeats after equal intervals of time","C","SHM is defined as motion where acceleration is proportional to displacement and acts towards the equilibrium position.","medium"
"Mechanics","Oscillations and SHM","SHM;acceleration;displacement;condition","Eduqas;AQA;OCR;Edexcel","Which of the following is a condition for SHM?","Net force is zero","Acceleration is in the direction of displacement","Acceleration is constant","Acceleration is proportional to and opposite displacement","D","For SHM, a ∝ –x, where x is displacement and a is acceleration.","medium"
"Mechanics","Oscillations and SHM","SHM;time period;mass spring system;formula","Eduqas;AQA;OCR;Edexcel","What is the equation for the time period of a mass-spring system in SHM?","T = 2π√(m/k)","T = 2π√(k/m)","T = √(m/k)","T = √(k/m)","A","For a spring system, T = 2π√(m/k), where m is mass and k is spring constant.","medium"
"Mechanics","Oscillations and SHM","SHM;calculation;time period;mass spring","Eduqas;AQA;OCR;Edexcel","A 0.25 kg mass attached to a spring with k = 100 N/m. What is the time period of oscillation?","0.31 s","1.00 s","0.99 s","0.22 s","A","T = 2π√(0.25/100) ≈ 0.31 s.","hard"
"Mechanics","Oscillations and SHM","SHM;acceleration;maximum displacement","Eduqas;AQA;OCR;Edexcel","At maximum displacement in SHM, the acceleration is:","Zero","Maximum","Equal to velocity","Negative","B","Acceleration is maximum at maximum displacement due to maximum restoring force.","medium"
"Mechanics","Oscillations and SHM","SHM;kinetic energy;equilibrium","Eduqas;AQA;OCR;Edexcel","In SHM, when is kinetic energy maximum?","At equilibrium position","At maximum displacement","Always constant","Halfway to maximum displacement","A","At equilibrium, the object is moving fastest, so kinetic energy is maximum.","medium"
"Mechanics","Oscillations and SHM","SHM;total energy;constant","Eduqas;AQA;OCR;Edexcel","The total energy in SHM is:","Always increasing","Zero at maximum displacement","Constant","Maximum at equilibrium","C","Total energy in SHM is constant and shared between KE and PE.","easy"
"Mechanics","Oscillations and SHM","SHM;angular frequency;omega;period","Eduqas;AQA;OCR;Edexcel","What is the angular frequency of an oscillator with period 0.5 s?","π rad/s","2π rad/s","4π rad/s","0.5π rad/s","C","ω = 2π/T = 2π/0.5 = 4π rad/s.","hard"
"Mechanics","Oscillations and SHM","SHM;displacement;velocity;differentiation","Eduqas;AQA;OCR;Edexcel","Displacement in SHM is given by x = A cos(ωt). What is the velocity at t = 0?","0","Aω","–Aω","A","C","v = –Aω sin(ωt); at t = 0, sin(0) = 0 → v = 0.","hard"
"Mechanics","Oscillations and SHM","SHM;velocity;graph;sinusoidal","Eduqas;AQA;OCR;Edexcel","Which graph best describes velocity vs. time for SHM?","Sine wave","Cosine wave","Straight line","Parabola","A","Velocity in SHM varies sinusoidally, described by a sine wave.","medium"
