topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Medical Physics,CT Scans and Gamma Cameras,ct scan;computed tomography;definition,Eduqas;AQA;OCR;Edexcel,What does CT stand for in medical imaging?,Computed Transmission,Convergent Tomography,Computed Tomography,Central Transmission,C,"CT stands for Computed Tomography, which uses X-rays to create detailed cross-sectional images.",easy
Medical Physics,CT Scans and Gamma Cameras,ct scan;3d image;x-ray;rotation,Eduqas;AQA;OCR;Edexcel,How does a CT scanner generate a 3D image?,By using a rotating magnet,By combining multiple X-ray images from different angles,By scanning with gamma rays,By echoing sound waves,B,CT combines X-ray images taken from multiple angles to create a detailed 3D representation of the body.,medium
Medical Physics,CT Scans and Gamma Cameras,ct scan;advantage;x-ray comparison,Eduqas;AQA;OCR;Edexcel,What is the main advantage of a CT scan over a standard X-ray?,It uses lower radiation doses,It is faster,It provides 3D and cross-sectional images,It uses ultrasound instead of radiation,C,"CT scans give more detailed information, including cross-sectional views, not just a flat 2D image.",medium
Medical Physics,CT Scans and Gamma Cameras,gamma camera;gamma rays;radiopharmaceutical,Eduqas;AQA;OCR;Edexcel,What type of radiation is used in a gamma camera?,X-rays,Alpha particles,Gamma rays,Infrared light,C,Gamma cameras detect gamma rays emitted from radiopharmaceuticals in the patient’s body.,easy
Medical Physics,CT Scans and Gamma Cameras,radiopharmaceutical;gamma camera;radioactive tracer,Eduqas;AQA;OCR;Edexcel,What is a radiopharmaceutical?,A contrast dye,A radioactive drug that emits gamma radiation,A sterilising chemical,A fluorescent tracer,B,Radiopharmaceuticals are compounds tagged with radioactive isotopes used in nuclear imaging.,medium
Medical Physics,CT Scans and Gamma Cameras,gamma camera;detection;collimator;scintillator,Eduqas;AQA;OCR;Edexcel,How does a gamma camera determine the location of a radioactive source in the body?,By rotating around the patient,By focusing light through lenses,Using a collimator and scintillation detector,Using ultrasound probes,C,Gamma cameras use a collimator to direct radiation and a scintillation crystal to detect it.,medium
Medical Physics,CT Scans and Gamma Cameras,gamma camera;scintillation crystal;light emission,Eduqas;AQA;OCR;Edexcel,Which component of the gamma camera emits light in response to gamma rays?,Collimator,Photomultiplier tube,Scintillation crystal,Display monitor,C,"The scintillation crystal converts gamma radiation into visible light, which is then detected by PMTs.",medium
Medical Physics,CT Scans and Gamma Cameras,gamma camera;photomultiplier;light detection,Eduqas;AQA;OCR;Edexcel,What happens to the visible light from a scintillation crystal in a gamma camera?,It is absorbed by bone,It is detected by a photomultiplier tube,It is converted back to gamma rays,It is ignored,B,The photomultiplier tube amplifies the light signal so that it can be measured electronically.,easy
Medical Physics,CT Scans and Gamma Cameras,gamma camera;tracer;emission;gamma rays,Eduqas;AQA;OCR;Edexcel,Why is the patient given a radioactive tracer before a gamma camera scan?,To cool the tissue,To highlight blood vessels using sound waves,To produce gamma rays for imaging,To stimulate muscle contractions,C,The tracer emits gamma rays that the camera detects to form an image.,easy
Medical Physics,CT Scans and Gamma Cameras,radiation;safety;ct;gamma camera,Eduqas;AQA;OCR;Edexcel,What safety consideration applies to gamma camera and CT scans?,Radiation dose must be minimized and justified,Patients must fast for 48 hours,Magnetic field exposure must be limited,Exposure to microwaves is dangerous,A,"Ionising radiation is used, so the ALARA principle (As Low As Reasonably Achievable) is followed.",medium
