topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Medical Physics,PET and MRI Scans,PET scan;positron emission;medical imaging,Eduqas;AQA;OCR;Edexcel,What does PET stand for in medical imaging?,Photon Emission Tomography,Positron Emission Tomography,Particle Energy Tomography,Pulse Echo Tomography,B,PET stands for Positron Emission Tomography — it uses positron-emitting tracers.,easy
Medical Physics,PET and MRI Scans,PET;gamma;annihilation;cancer,Eduqas;AQA;OCR;Edexcel,How does a PET scanner detect cancerous tissue?,By detecting X-rays from a tracer,By detecting gamma rays from positron annihilation,By detecting sound waves,By using magnetism to image tissue,B,PET scanners detect pairs of gamma photons produced when positrons annihilate with electrons.,medium
Medical Physics,PET and MRI Scans,PET;functional imaging;metabolism,Eduqas;AQA;OCR;Edexcel,What is a key advantage of PET scans?,No radiation exposure,High-resolution bone imaging,Functional imaging of metabolic activity,Real-time imaging of movement,C,PET provides functional imaging of tissues by tracking metabolic processes.,medium
Medical Physics,PET and MRI Scans,PET;tracer;fluorine-18,Eduqas;AQA;OCR;Edexcel,What isotope is commonly used in PET tracers?,Carbon-14,Technetium-99m,Fluorine-18,Iodine-131,C,"Fluorine-18 is a common PET isotope, typically bound in fluorodeoxyglucose (FDG).",medium
Medical Physics,PET and MRI Scans,MRI;magnetic resonance;definition,Eduqas;AQA;OCR;Edexcel,What does MRI stand for?,Magnetic Resonance Imaging,Molecular Radiographic Imaging,Magneto-Radio Imaging,Mass Reflective Imaging,A,MRI stands for Magnetic Resonance Imaging — it uses magnetic fields and radio waves to image soft tissues.,easy
Medical Physics,PET and MRI Scans,MRI;hydrogen;nuclear spin;magnetism,Eduqas;AQA;OCR;Edexcel,What property of hydrogen nuclei is exploited in MRI?,Electrical conductivity,Nuclear spin and magnetic moment,Radioactivity,Ionisation energy,B,MRI uses the alignment and resonance of hydrogen nuclei (protons) due to their magnetic moments.,medium
Medical Physics,PET and MRI Scans,MRI;soft tissue;water content,Eduqas;AQA;OCR;Edexcel,Why is MRI particularly good for imaging soft tissues?,It uses X-rays that penetrate deep,Soft tissues contain hydrogen-rich water,It detects hard materials like bone,It emits gamma radiation,B,"MRI is sensitive to water content, and soft tissues have high water content.",medium
Medical Physics,PET and MRI Scans,MRI;radio waves;resonance,Eduqas;AQA;OCR;Edexcel,Which type of wave is used in MRI to disturb the alignment of protons?,Ultrasound,Infrared,Radio,Gamma,C,Radio waves cause hydrogen protons to absorb energy and change alignment in MRI.,easy
Medical Physics,PET and MRI Scans,MRI;safety;non-ionising,Eduqas;AQA;OCR;Edexcel,Which of these is a key safety benefit of MRI compared to CT?,It uses ionising radiation,It is cheaper to operate,It uses non-ionising radiofrequency waves,It requires no supervision,C,"MRI does not use ionising radiation, making it safer for repeat imaging.",medium
Medical Physics,PET and MRI Scans,MRI;magnet;metal;safety,Eduqas;AQA;OCR;Edexcel,Why must patients remove metal objects before an MRI scan?,To avoid absorbing radio waves,To reduce interference with gamma radiation,To prevent movement or injury in the strong magnetic field,To prevent electric shock,C,"The strong magnetic field can attract or move metal objects, posing safety risks.",easy
