topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Medical Physics,Radiation Doses and Safety,radiation dose;unit;gray,Eduqas;AQA;OCR;Edexcel,What is the unit of absorbed radiation dose?,Becquerel,Sievert,Gray,Coulomb,C,"Absorbed dose is measured in grays (Gy), where 1 Gy = 1 J/kg.",easy
Medical Physics,Radiation Doses and Safety,sievert;biological effect;dose equivalent,Eduqas;AQA;OCR;Edexcel,What does the unit sievert (Sv) represent?,Energy absorbed per kg,Number of radioactive decays per second,Biological effect of radiation dose,Ionisation per cm³ of air,C,The sievert accounts for both the energy absorbed and the biological impact of the radiation.,medium
Medical Physics,Radiation Doses and Safety,alpha;internal;hazard;ionisation,Eduqas;AQA;OCR;Edexcel,Which type of radiation poses the greatest risk if ingested or inhaled?,Alpha,Beta,Gamma,X-rays,A,"Alpha particles cause dense ionisation in a small area, making them highly damaging internally.",medium
Medical Physics,Radiation Doses and Safety,ALARA;principle;radiation safety,Eduqas;AQA;OCR;Edexcel,Which statement best describes the ALARA principle?,Radiation should always be avoided,Dose should be as low as reasonably achievable,Radiation must be eliminated completely,Patients should avoid all imaging procedures,B,ALARA means keeping radiation exposure to the minimum necessary for medical benefit.,easy
Medical Physics,Radiation Doses and Safety,dose;factors;temperature,Eduqas;AQA;OCR;Edexcel,Which factor does NOT influence radiation dose received by a patient?,Exposure time,Distance from source,Type of radiation,Ambient temperature,D,"Temperature does not affect radiation dose; time, distance, and radiation type do.",easy
Medical Physics,Radiation Doses and Safety,dose limit;occupational exposure,Eduqas;AQA;OCR;Edexcel,What is the annual dose limit for radiation workers in the UK?,1 mSv,5 mSv,10 mSv,20 mSv,D,The occupational exposure limit for radiation workers is 20 mSv/year.,medium
Medical Physics,Radiation Doses and Safety,x-ray;protection;lead apron,Eduqas;AQA;OCR;Edexcel,Why are lead aprons used during X-ray imaging?,To improve image contrast,To cool the body,To absorb scattered X-rays and protect tissues,To attract gamma rays,C,"Lead is dense and absorbs X-rays, reducing radiation exposure to non-target areas.",easy
Medical Physics,Radiation Doses and Safety,radiation;risk;children,Eduqas;AQA;OCR;Edexcel,Which group is most vulnerable to radiation exposure?,Adults,Children,Medical staff,Healthy athletes,B,Children are more sensitive to radiation due to their developing tissues and longer lifespan for effects to manifest.,medium
Medical Physics,Radiation Doses and Safety,effective dose;equivalent;tissue weighting,Eduqas;AQA;OCR;Edexcel,"Which quantity combines radiation dose, type, and tissue sensitivity?",Activity,Dose equivalent,Absorbed dose,Effective dose,D,"Effective dose considers absorbed dose, radiation weighting, and tissue weighting factors.",hard
Medical Physics,Radiation Doses and Safety,dosimeter;monitoring;radiation exposure,Eduqas;AQA;OCR;Edexcel,What is the purpose of a personal dosimeter?,To measure body temperature,To monitor radiation exposure of a worker,To detect bacterial infections,To measure heart rate during scans,B,A dosimeter tracks cumulative radiation dose for safety monitoring.,easy
