topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Medical Physics,Ultrasound and Piezoelectricity,ultrasound;frequency;medical imaging,Eduqas;AQA;OCR;Edexcel,What frequency range is typically used in medical ultrasound imaging?,Below 20 Hz,20 Hz – 20 kHz,Above 20 kHz,Above 1 GHz,C,"Ultrasound refers to sound waves with frequencies above 20 kHz, beyond human hearing.",easy
Medical Physics,Ultrasound and Piezoelectricity,ultrasound;reflection;impedance,Eduqas;AQA;OCR;Edexcel,What property of a tissue boundary causes reflection of ultrasound waves?,Temperature difference,Impedance difference,Speed of sound,Wavelength,B,Ultrasound reflects at boundaries with different acoustic impedances.,medium
Medical Physics,Ultrasound and Piezoelectricity,acoustic impedance;definition;ultrasound,Eduqas;AQA;OCR;Edexcel,What is acoustic impedance defined as?,Pressure × velocity,Density / pressure,Speed of sound × density,Wavelength × frequency,C,"Acoustic impedance Z = ρc, where ρ is density and c is speed of sound in the medium.",medium
Medical Physics,Ultrasound and Piezoelectricity,ultrasound;air-skin;reflection,Eduqas;AQA;OCR;Edexcel,What happens to most of the ultrasound at an air-skin boundary?,It is transmitted,It reflects back,It is absorbed,It increases in frequency,B,"Due to large impedance mismatch, most ultrasound reflects at an air-skin boundary.",medium
Medical Physics,Ultrasound and Piezoelectricity,ultrasound;gel;contact;air gap,Eduqas;AQA;OCR;Edexcel,What is the role of the gel used in ultrasound scanning?,To cool the skin,To conduct electricity,To reduce impedance mismatch and eliminate air gaps,To sterilise the probe,C,"The gel eliminates air between the probe and skin, improving transmission.",easy
Medical Physics,Ultrasound and Piezoelectricity,piezoelectric;crystal;voltage;pressure,Eduqas;AQA;OCR;Edexcel,What is the piezoelectric effect?,Emission of light from a crystal,Vibration of a crystal due to electric current,Production of electric charge when a crystal is compressed,Ionisation of gas under high pressure,C,The piezoelectric effect involves generating voltage when certain crystals are stressed.,medium
Medical Physics,Ultrasound and Piezoelectricity,piezoelectric;material;ultrasound,Eduqas;AQA;OCR;Edexcel,Which material is commonly used in piezoelectric ultrasound transducers?,Quartz,Graphite,Plastic,Copper,A,Quartz and similar piezoelectric materials are used to produce and detect ultrasound.,easy
Medical Physics,Ultrasound and Piezoelectricity,ultrasound;distance;time of flight,Eduqas;AQA;OCR;Edexcel,How is the distance to a tissue boundary calculated in ultrasound imaging?,Distance = speed × time,Distance = (speed × time) / 2,Distance = time / speed,Distance = speed² × time,B,"The wave travels to the boundary and back, so distance = (c × t)/2.",medium
Medical Physics,Ultrasound and Piezoelectricity,ultrasound;frequency;resolution,Eduqas;AQA;OCR;Edexcel,Why is high frequency ultrasound used for imaging?,It has greater penetration,It reflects better at bone interfaces,It provides better resolution,It travels faster through tissue,C,"Higher frequency waves have shorter wavelengths, improving resolution.",medium
Medical Physics,Ultrasound and Piezoelectricity,ultrasound;bone;absorption;imaging,Eduqas;AQA;OCR;Edexcel,Which of the following would give poor ultrasound images due to high absorption?,Muscle,Liver,Bone,Blood,C,"Bone strongly absorbs and reflects ultrasound, limiting image clarity behind it.",hard
