topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,Atomic Structure and Isotopes,atomic number;protons;nucleus,Eduqas,What is the atomic number of an element?,The number of neutrons,The number of protons,The number of electrons in all isotopes,The sum of protons and neutrons,B,The atomic number is defined as the number of protons in the nucleus of an atom.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,neutron;charge;atomic particles,Eduqas,Which of the following particles has no charge?,Electron,Proton,Neutron,Alpha particle,C,"The neutron is electrically neutral, having no charge.",easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,isotopes;mass number;neutrons,Eduqas,What distinguishes one isotope of an element from another?,Number of electrons,Number of protons,Mass number,Chemical properties,C,"Isotopes have the same number of protons but different numbers of neutrons, affecting their mass number.",medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,nucleon number;atomic structure,Eduqas,An element has 17 protons and 18 neutrons. What is its nucleon number?,17,18,35,34,C,Nucleon number = protons + neutrons = 17 + 18 = 35.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,isotopes;definition;neutrons,Eduqas,Which statement best defines an isotope?,Atoms with the same number of protons but different neutrons,Atoms with the same mass number but different atomic numbers,Different elements with similar properties,Atoms with different electron configurations,A,Isotopes have the same atomic number (same element) but different mass numbers.,medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,carbon isotopes;neutrons;mass number,Eduqas,Which pair are isotopes of the same element?,<sup>12</sup>C and <sup>14</sup>C,<sup>14</sup>C and <sup>14</sup>N,<sup>16</sup>O and <sup>8</sup>O,<sup>1</sup>H and <sup>2</sup>He,A,Both have the same number of protons (carbon) but different numbers of neutrons.,medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,proton;atomic number;element identity,Eduqas,Which subatomic particle defines the chemical identity of an element?,Electron,Neutron,Proton,Photon,C,The number of protons determines the atomic number and identity of the element.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,neutron;charge;mass,Eduqas,What is the relative charge and mass of a neutron?,"0 charge, 1 unit mass","+1 charge, 1 unit mass","-1 charge, 1 unit mass","0 charge, 0 unit mass",A,Neutrons are neutral with approximately 1 unit of relative mass.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,electron;mass;particles,Eduqas,Which particle has the smallest relative mass?,Neutron,Proton,Electron,Alpha particle,C,The electron has a much smaller mass than protons or neutrons (~1/1836 of a proton).,medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,isotopes;electrons;chemistry,Eduqas,Which of the following is true about isotopes?,They have different chemical properties,They have different atomic numbers,They have identical mass numbers,They have the same electron configuration,D,"Isotopes have the same number of electrons, so they behave similarly chemically.",hard
