topic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,quarks;neutron;structure,Eduqas,What is the quark composition of a neutron?,uud,udd,ddu,uuu,B,A neutron is composed of one up quark and two down quarks: udd.,easy
Particles and Nuclear Structure,quarks;proton;structure,Eduqas,Which combination of quarks makes up a proton?,udd,uud,duu,ddu,B,A proton is made of two up quarks and one down quark: uud.,easy
Particles and Nuclear Structure,quark charge;down quark,Eduqas,Which quark has a charge of -1/3 e?,Up,Top,Charm,Down,D,The down quark has a charge of -1/3 e.,medium
Particles and Nuclear Structure,quarks;strange quark;structure,Eduqas,Which of the following quarks is not found in protons or neutrons?,Up,Down,Strange,None of the above,C,"Strange quarks are found in strange particles, not in ordinary protons or neutrons.",medium
Particles and Nuclear Structure,mesons;quark structure;pions,Eduqas,Which meson consists of a quark and an antiquark?,Proton,Neutron,Pion,Muon,C,Pions are mesons composed of a quark-antiquark pair.,medium
Particles and Nuclear Structure,quark structure;charge calculation,Eduqas,What is the total charge of a particle composed of two up quarks and one strange quark?,+1 e,+2/3 e,0 e,-1/3 e,A,"Up quark = +2/3 e, Strange quark = -1/3 e → total = 2*(2/3) - 1/3 = +1 e.",hard
Particles and Nuclear Structure,strong interaction;quarks;conservation,Eduqas,What property is conserved in all strong interactions involving quarks?,Electric charge,Strangeness,Lepton number,Quark flavour,A,Electric charge is always conserved in strong interactions; quark flavour may not be.,hard
Particles and Nuclear Structure,baryon number;proton;quark structure,Eduqas,What is the baryon number of a proton?,0,1,-1,1/3,B,"All baryons, including protons and neutrons, have a baryon number of 1.",easy
Particles and Nuclear Structure,mesons;pions;quark content,Eduqas,Which of the following particles has a quark content of d&bar;u?,&pi;<sup>+</sup>,&pi;<sup>-</sup>,Proton,Kaon,B,&pi;<sup>-</sup> is made of a down quark and an anti-up quark (d&bar;u).,hard
Particles and Nuclear Structure,quark combinations;neutral particles,Eduqas,Which combination of quarks results in a neutral particle?,uud,udd,s&bar;s,u&bar;u,C,The s&bar;s meson is neutral as the charges of the strange quark and anti-strange quark cancel.,hard
