topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,Radioactivity and Decay Equations,half-life;fraction remaining;radioactive decay,Eduqas;AQA;OCR;Edexcel,A radioactive isotope has a half-life of 4 hours. What fraction of the original nuclei remains after 12 hours?,1/8,1/2,1/4,1/16,A,12 hours = 3 half-lives. Remaining = (1/2)^3 = 1/8.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,half-life;decay;time calculation,Eduqas;AQA;OCR;Edexcel,"If 200 g of a substance is reduced to 25 g in 3 half-lives, what is the half-life duration if this process takes 15 hours?",3 hours,4 hours,5 hours,6 hours,C,15 hours ÷ 3 = 5 hours per half-life.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,decay constant;half-life;lambda,Eduqas;AQA;OCR;Edexcel,The half-life of a nuclide is 10 minutes. What is the decay constant λ?,0.069 min⁻¹,0.035 min⁻¹,0.007 min⁻¹,0.693 min⁻¹,A,λ = ln(2) / T½ = 0.693 / 10 = 0.069 min⁻¹.,hard
Particles and Nuclear Structure,Radioactivity and Decay Equations,half-life;decay constant;radioactivity,Eduqas;AQA;OCR;Edexcel,A sample has a decay constant of 0.231 day⁻¹. What is its half-life?,1 day,2 days,3 days,0.5 days,B,T½ = ln(2) / λ = 0.693 / 0.231 ≈ 3.00 days.,hard
Particles and Nuclear Structure,Radioactivity and Decay Equations,activity;half-life;Becquerels,Eduqas;AQA;OCR;Edexcel,The activity of a source drops from 800 Bq to 100 Bq. How many half-lives have passed?,2,3,4,5,C,800 → 400 → 200 → 100: 3 halvings = 3 half-lives.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,activity;decay constant;radioactivity,Eduqas;AQA;OCR;Edexcel,A source has a decay constant of 0.002 s⁻¹ and 5.0×10⁶ undecayed nuclei. What is its activity?,10000 Bq,5000 Bq,1000 Bq,25000 Bq,D,A = λN = 0.002 × 5×10⁶ = 10000 Bq.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,half-life;time;decay process,Eduqas;AQA;OCR;Edexcel,How long will it take for a sample to decay to 25% of its original amount if its half-life is 2 hours?,2 hours,3 hours,4 hours,6 hours,C,25% = 1/4 → 2 half-lives → 2 × 2 = 4 hours.,easy
Particles and Nuclear Structure,Radioactivity and Decay Equations,activity;radioactive decay;calculation,Eduqas;AQA;OCR;Edexcel,The activity of a radioactive source is 400 Bq. What will it be after 3 half-lives?,200 Bq,100 Bq,50 Bq,25 Bq,B,400 → 200 → 100 → 50 Bq = 3 half-lives → final = 50 Bq.,easy
Particles and Nuclear Structure,Radioactivity and Decay Equations,remaining nuclei;half-life;N=N₀/2ⁿ,Eduqas;AQA;OCR;Edexcel,How many undecayed nuclei remain from an original 1.6×10⁸ after 2 half-lives?,8.0×10⁷,4.0×10⁷,2.0×10⁷,1.0×10⁷,B,After 2 half-lives: N = (1.6×10⁸)/4 = 4.0×10⁷.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,fraction remaining;decay;half-life,Eduqas;AQA;OCR;Edexcel,"If the half-life of a substance is 10 years, what fraction will remain after 30 years?",1/2,1/3,1/8,1/10,C,30 years = 3 half-lives → (1/2)^3 = 1/8.,easy
