topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,Atomic Structure and Isotopes,chemical identity;protons;atomic structure,Eduqas;AQA;OCR;Edexcel,Which subatomic particle is responsible for the chemical identity of an atom?,Electron,Proton,Neutron,Nucleon,B,The number of protons determines the element and its chemical identity.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,oxygen isotope;nucleon number,Eduqas;AQA;OCR;Edexcel,An isotope of oxygen has 8 protons and 10 neutrons. What is its nucleon number?,18,16,8,10,A,Nucleon number = 8 + 10 = 18.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,isotopes;electrons;chemical properties,Eduqas;AQA;OCR;Edexcel,Why do isotopes of the same element have identical chemical properties?,They have the same number of neutrons,They have the same number of electrons,They have the same mass number,They have the same nucleus,B,"Chemical properties depend on the electron configuration, which is the same for all isotopes.",medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,nucleons;protons;definitions,Eduqas;AQA;OCR;Edexcel,What is the difference between a nucleon and a proton?,Nucleons are only neutrons,Protons are heavier than nucleons,All protons are nucleons,Nucleons carry negative charge,C,Nucleons include both protons and neutrons.,medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,mass number;protons;neutrons,Eduqas;AQA;OCR;Edexcel,What is the mass number of an atom with 15 protons and 16 neutrons?,31,30,29,15,A,Mass number = 15 + 16 = 31.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,isotopes;definition;protons,Eduqas;AQA;OCR;Edexcel,Which of these is not a correct description of an isotope?,Atoms of the same element with different numbers of neutrons,Atoms with the same proton number but different nucleon numbers,Atoms with identical chemical behaviour,Atoms with different numbers of protons,D,"Different numbers of protons would make them different elements, not isotopes.",medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,atomic number;electrons;calcium,Eduqas;AQA;OCR;Edexcel,The atomic number of calcium is 20. How many electrons does a calcium atom have?,10,20,40,60,B,"In a neutral atom, the number of electrons equals the number of protons.",easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,mass number;definition;atomic structure,Eduqas;AQA;OCR;Edexcel,Which term describes the total number of protons and neutrons in an atom?,Atomic number,Mass number,Isotope number,Electron number,B,Mass number = total protons + neutrons.,easy
Particles and Nuclear Structure,Atomic Structure and Isotopes,hydrogen;isotopes;protons,Eduqas;AQA;OCR;Edexcel,Which of the following is true for all isotopes of hydrogen?,Same number of neutrons,Same number of protons,Same nucleon number,Same number of electrons and neutrons,B,"All hydrogen isotopes have 1 proton, but differ in neutron number.",medium
Particles and Nuclear Structure,Atomic Structure and Isotopes,ions;electrons;atomic structure,Eduqas;AQA;OCR;Edexcel,"If an atom becomes a negative ion, what has changed?",It has lost electrons,It has gained electrons,It has gained protons,It has lost neutrons,B,Negative ions form when atoms gain one or more electrons.,medium
