topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,mass defect;binding energy;nuclear structure,Eduqas;AQA;OCR;Edexcel,What is meant by mass defect in a nucleus?,The mass of an electron lost during decay,The difference between the mass of the nucleus and its nucleons,The energy gained during fusion,The missing neutrons in a stable nucleus,B,Mass defect is the difference between the mass of the separated nucleons and the mass of the nucleus.,medium
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,binding energy;mass-energy equivalence;E=mc²,Eduqas;AQA;OCR;Edexcel,Which equation links mass defect and binding energy?,E = mc,E = mc²,E = mv²,E = ½mv²,B,Einstein’s equation E = mc² relates mass and energy.,easy
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,fission;nuclear energy;reaction,Eduqas;AQA;OCR;Edexcel,Which process releases energy by splitting a large nucleus into two smaller ones?,Fusion,Fission,Decay,Annihilation,B,"Fission is the process of splitting a heavy nucleus into lighter nuclei, releasing energy.",easy
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,fusion;light nuclei;energy release,Eduqas;AQA;OCR;Edexcel,Which of the following is true about nuclear fusion?,It occurs naturally in nuclear reactors,It splits a heavy nucleus,It requires extremely low temperatures,It combines light nuclei into a heavier one,D,"Fusion combines light nuclei, such as hydrogen isotopes, to form heavier nuclei.",easy
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,binding energy;mass defect;E=mc²,Eduqas;AQA;OCR;Edexcel,Calculate the binding energy of a nucleus with mass defect 0.030 u. (1 u = 931.5 MeV/c²),27.9 MeV,24.5 MeV,32.1 MeV,20.3 MeV,A,E = 0.030 × 931.5 = 27.945 MeV ≈ 27.9 MeV.,hard
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,fission;fuel;uranium-235,Eduqas;AQA;OCR;Edexcel,What is the typical fuel used in nuclear fission reactors?,Carbon-14,Uranium-235,Hydrogen-1,Plutonium-239,B,Uranium-235 is a common fuel in nuclear fission reactors.,medium
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,fusion;temperature;electrostatic repulsion,Eduqas;AQA;OCR;Edexcel,Why does fusion require very high temperatures?,To ionize atoms,To create antimatter,To overcome electrostatic repulsion between nuclei,To prevent neutron loss,C,High temperatures give nuclei enough kinetic energy to overcome electrostatic repulsion.,hard
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,fusion;deuterium;tritium,Eduqas;AQA;OCR;Edexcel,Which energy source results from combining deuterium and tritium nuclei?,Alpha decay,Fission,Beta decay,Fusion,D,Deuterium and tritium undergo nuclear fusion to form helium and release energy.,medium
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,binding energy;helium nucleus;mass defect,Eduqas;AQA;OCR;Edexcel,The mass of a helium nucleus is 4.0015 u. The sum of the masses of its nucleons is 4.0320 u. What is the binding energy?,28.3 MeV,31.1 MeV,25.6 MeV,30.0 MeV,A,Mass defect = 4.0320 - 4.0015 = 0.0305 u; E = 0.0305 × 931.5 ≈ 28.4 MeV.,hardcore
Particles and Nuclear Structure,Binding Energy and Fission/Fusion,binding energy;fusion;per nucleon,Eduqas;AQA;OCR;Edexcel,Which of the following best explains why fusion produces more energy per nucleon than fission?,Fusion reactions involve more massive nuclei,Fusion occurs faster than fission,Fusion products are closer to the peak of the binding energy per nucleon curve,Fission reactions are endothermic,C,"Fusion products lie closer to the peak of the binding energy curve, meaning more energy is released per nucleon.",hard
