topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,Nuclear Equations and Half-life,half-life;definition;radioactive decay,Eduqas;AQA;OCR;Edexcel,What is the definition of half-life?,Time for all nuclei to decay,Time for the activity to double,Time for half the unstable nuclei to decay,Time for half the neutrons to be emitted,C,Half-life is the time it takes for half the radioactive nuclei in a sample to decay.,easy
Particles and Nuclear Structure,Nuclear Equations and Half-life,mass remaining;half-life;radioactivity,Eduqas;AQA;OCR;Edexcel,A radioactive substance has a half-life of 12 hours. How much of a 64 g sample remains after 36 hours?,32 g,24 g,16 g,8 g,D,36 hours = 3 half-lives → 64 → 32 → 16 → 8 g.,medium
Particles and Nuclear Structure,Nuclear Equations and Half-life,half-life;radioactive decay;decay rate,Eduqas;AQA;OCR;Edexcel,Which quantity is halved during each half-life of a radioactive sample?,Number of atoms,Decay constant,Atomic number,Mass number,A,Each half-life reduces the number of undecayed nuclei (or mass) by half.,medium
Particles and Nuclear Structure,Nuclear Equations and Half-life,exponential decay;half-life;nuclei remaining,Eduqas;AQA;OCR;Edexcel,How many undecayed nuclei remain from an original 1.2×10⁷ after 5 half-lives?,3.75×10⁵,3.75×10⁶,6.0×10⁵,2.4×10⁶,A,Remaining = N₀ × (1/2)^5 = 1.2×10⁷ × (1/32) ≈ 3.75×10⁵.,hard
Particles and Nuclear Structure,Nuclear Equations and Half-life,nuclear equation;conservation;mass and charge,Eduqas;AQA;OCR;Edexcel,What does a balanced nuclear equation conserve?,Energy and charge only,Mass number and charge,Electrons and charge,Neutrons and protons,B,Nuclear equations conserve both atomic (charge) and mass numbers.,easy
Particles and Nuclear Structure,Nuclear Equations and Half-life,nuclear decay;alpha decay;daughter nucleus,Eduqas;AQA;OCR;Edexcel,"In the decay of polonium-210 by alpha emission, what is the resulting daughter nucleus?",Lead-208,Radon-210,Lead-206,Bismuth-212,C,"Po-210 emits an alpha particle (mass 4, charge 2), becoming Pb-206.",medium
Particles and Nuclear Structure,Nuclear Equations and Half-life,decay constant;half-life;calculation,Eduqas;AQA;OCR;Edexcel,"If the decay constant of a substance is 0.0008 s⁻¹, what is its half-life?",866 s,1000 s,1250 s,1425 s,A,T½ = ln(2)/λ = 0.693 / 0.0008 ≈ 866 s.,hardcore
Particles and Nuclear Structure,Nuclear Equations and Half-life,activity;radioactive decay;half-life,Eduqas;AQA;OCR;Edexcel,A source has an initial activity of 480 Bq and a half-life of 6 hours. What will its activity be after 18 hours?,240 Bq,120 Bq,60 Bq,30 Bq,D,18 hours = 3 half-lives → 480 → 240 → 120 → 60 Bq.,medium
Particles and Nuclear Structure,Nuclear Equations and Half-life,lambda;half-life;radioactivity,Eduqas;AQA;OCR;Edexcel,Calculate the decay constant for a nuclide with a half-life of 4.5 minutes.,0.154 min⁻¹,0.231 min⁻¹,0.126 min⁻¹,0.693 min⁻¹,B,λ = ln(2)/T½ = 0.693 / 3.0 ≈ 0.231 min⁻¹.,hard
Particles and Nuclear Structure,Nuclear Equations and Half-life,decay;percentage;half-life,Eduqas;AQA;OCR;Edexcel,"After 2 half-lives, what percentage of a radioactive sample remains undecayed?",50%,25%,12.5%,75%,B,Remaining = (1/2)^2 = 1/4 = 25%.,easy
