topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,Particle Accelerators and Detectors,particle accelerator;kinetic energy;purpose,Eduqas;AQA;OCR;Edexcel,What is the main purpose of a particle accelerator?,To split atoms,To slow down particles,To increase particle kinetic energy,To detect radiation,C,Accelerators increase the kinetic energy of particles to high speeds for collisions and studies.,easy
Particles and Nuclear Structure,Particle Accelerators and Detectors,accelerator;linear;electric field,Eduqas;AQA;OCR;Edexcel,Which type of accelerator uses a changing electric field to accelerate particles in a straight line?,Cyclotron,Synchrotron,Linear accelerator,Van de Graaff generator,C,A linear accelerator (linac) accelerates particles in a straight line using alternating electric fields.,medium
Particles and Nuclear Structure,Particle Accelerators and Detectors,magnetic field;charged particles;acceleration,Eduqas;AQA;OCR;Edexcel,What force is used to bend the paths of charged particles in circular accelerators?,Electric,Gravitational,Nuclear,Magnetic,D,Magnetic fields bend the paths of charged particles in devices like cyclotrons and synchrotrons.,medium
Particles and Nuclear Structure,Particle Accelerators and Detectors,bubble chamber;detection;particle tracks,Eduqas;AQA;OCR;Edexcel,Which of these is commonly used to detect particle tracks?,Bubble chamber,Electric motor,Loudspeaker,Transformer,A,Bubble chambers allow visualization of particle tracks as bubbles form along their paths.,easy
Particles and Nuclear Structure,Particle Accelerators and Detectors,drift tube;acceleration;linac,Eduqas;AQA;OCR;Edexcel,Which part of a particle accelerator system increases particle energy by switching polarity at precise intervals?,Magnet,Drift tube,Detector,Vacuum chamber,B,Drift tubes in a linac accelerate particles using alternating electric fields.,hard
Particles and Nuclear Structure,Particle Accelerators and Detectors,vacuum;accelerators;collisions,Eduqas;AQA;OCR;Edexcel,Why is a vacuum used inside particle accelerators?,To cool the particles,To reduce collisions with air molecules,To attract electrons,To increase mass of particles,B,A vacuum minimizes interactions between the accelerated particles and air molecules.,medium
Particles and Nuclear Structure,Particle Accelerators and Detectors,cloud chamber;ionisation;tracks,Eduqas;AQA;OCR;Edexcel,What is typically detected in a cloud chamber?,Photon radiation,Visible trails from ionised particles,Electromagnetic fields,Neutrino paths,B,Ionised particles leave visible condensation trails in cloud chambers.,medium
Particles and Nuclear Structure,Particle Accelerators and Detectors,LHC;synchrotron;CERN,Eduqas;AQA;OCR;Edexcel,Which particle accelerator is used in the LHC at CERN?,Cyclotron,Synchrotron,Linear accelerator,Van de Graaff,B,The LHC is a synchrotron — a circular accelerator with synchronized magnetic fields.,hard
Particles and Nuclear Structure,Particle Accelerators and Detectors,synchrotron;acceleration;timing,Eduqas;AQA;OCR;Edexcel,Why must particles be synchronised with accelerating fields in a synchrotron?,To maintain constant energy,To avoid magnetic repulsion,To ensure correct acceleration timing,To create electric fields,C,Synchronisation ensures that particles receive boosts at precise points in the ring.,hardcore
Particles and Nuclear Structure,Particle Accelerators and Detectors,charge;magnetic field;curvature;detectors,Eduqas;AQA;OCR;Edexcel,Which of the following describes how the charge of a particle can be inferred in a magnetic field detector?,By its speed,By its mass,By the curvature and direction of its path,By the size of its ionisation track,C,Charged particles curve in magnetic fields; the direction and radius of curvature reveal the sign and magnitude of charge.,hard
