topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Particles and Nuclear Structure,Radioactivity and Decay Equations,alpha radiation;helium nucleus;radioactive decay,Eduqas;AQA;OCR;Edexcel,Which type of radiation consists of two protons and two neutrons?,Alpha,Beta,Gamma,Neutron,A,Alpha particles are helium nuclei consisting of two protons and two neutrons.,easy
Particles and Nuclear Structure,Radioactivity and Decay Equations,beta decay;beta-minus;electron emission,Eduqas;AQA;OCR;Edexcel,What is emitted during beta-minus decay?,A proton,An electron,A neutron,A helium nucleus,B,Beta-minus decay emits a high-energy electron and an antineutrino.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,gamma radiation;electromagnetic;ionising,Eduqas;AQA;OCR;Edexcel,Which radiation has no mass and no charge?,Alpha,Beta,Gamma,Neutron,C,Gamma radiation is electromagnetic and carries no mass or charge.,easy
Particles and Nuclear Structure,Radioactivity and Decay Equations,alpha decay;atomic number;radioactivity,Eduqas;AQA;OCR;Edexcel,What change occurs to the atomic number during alpha decay?,Increases by 1,Decreases by 1,Increases by 2,Decreases by 2,D,Alpha decay reduces atomic number by 2 (two protons lost).,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,carbon-14;beta-minus;decay equation,Eduqas;AQA;OCR;Edexcel,What is the product of the beta-minus decay of carbon-14?,Boron-14,Nitrogen-14,Oxygen-14,Carbon-13,B,Carbon-14 decays into nitrogen-14 during beta-minus decay.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,gamma decay;mass number;atomic number,Eduqas;AQA;OCR;Edexcel,Which type of decay does not change the atomic number or mass number of a nucleus?,Alpha,Beta-minus,Gamma,Beta-plus,C,Gamma decay releases energy without changing the identity of the nucleus.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,alpha decay;uranium;decay equation,Eduqas;AQA;OCR;Edexcel,What is the nuclear equation for the alpha decay of uranium-238?,<sup>238</sup>U → <sup>234</sup>Th + <sup>4</sup>He,<sup>238</sup>U → <sup>239</sup>U + <sup>1</sup>n,<sup>238</sup>U → <sup>234</sup>Ra + <sup>4</sup>He,<sup>238</sup>U → <sup>237</sup>Pa + <sup>1</sup>n,A,Uranium-238 undergoes alpha decay to form thorium-234 and a helium-4 nucleus.,hard
Particles and Nuclear Structure,Radioactivity and Decay Equations,penetration;gamma radiation;radioactivity,Eduqas;AQA;OCR;Edexcel,Which type of radiation is the most penetrating?,Alpha,Beta,Gamma,Neutron,C,Gamma rays penetrate deeply due to lack of charge and mass.,easy
Particles and Nuclear Structure,Radioactivity and Decay Equations,decay equations;conservation;radioactivity,Eduqas;AQA;OCR;Edexcel,What is conserved in all nuclear decay equations?,Atomic number only,Mass number only,Both atomic and mass numbers,Neither,C,Both mass number and atomic number are conserved in nuclear reactions.,medium
Particles and Nuclear Structure,Radioactivity and Decay Equations,beta-plus;positron;proton decay,Eduqas;AQA;OCR;Edexcel,"In beta-plus decay, what happens to a proton?",It becomes a neutron and emits a positron,It becomes an electron,It releases a gamma photon,It forms a helium nucleus,A,"In beta-plus decay, a proton converts into a neutron and emits a positron and neutrino.",hard
