topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Quantum Physics,Energy Levels and Spectral Lines,energy levels;electron;discrete,Eduqas;AQA;OCR;Edexcel,What are energy levels in an atom?,Regions where protons are found,Discrete energies that electrons can occupy,Continuous ranges of energy,Where neutrons reside,B,"Energy levels are specific, discrete energy values that electrons can occupy in an atom.",easy
Quantum Physics,Energy Levels and Spectral Lines,electron transition;photon;emission,Eduqas;AQA;OCR;Edexcel,What happens when an electron falls from a higher to a lower energy level?,A proton is emitted,A photon is absorbed,A photon is emitted,Energy is destroyed,C,"When an electron drops to a lower level, it emits a photon with energy equal to the difference between levels.",easy
Quantum Physics,Energy Levels and Spectral Lines,spectral line;energy difference;frequency,Eduqas;AQA;OCR;Edexcel,What determines the frequency of light emitted in a spectral line?,The size of the atom,The atomic mass,The energy difference between levels,The number of protons,C,"The frequency is determined by E = hf, where E is the difference between energy levels.",medium
Quantum Physics,Energy Levels and Spectral Lines,hydrogen;energy level;transition,Eduqas;AQA;OCR;Edexcel,"In a hydrogen atom, which transition emits the most energetic photon?",n=3 to n=2,n=2 to n=1,n=4 to n=3,n=5 to n=4,B,"The n=2 to n=1 transition has the largest energy difference, so it emits the most energetic photon.",medium
Quantum Physics,Energy Levels and Spectral Lines,electromagnetic;visible;transition,Eduqas;AQA;OCR;Edexcel,Which region of the electromagnetic spectrum is typically associated with electronic transitions in atoms?,X-rays,Gamma rays,Visible light,Radio waves,C,Electronic transitions often result in photons in the visible region of the spectrum.,easy
Quantum Physics,Energy Levels and Spectral Lines,excitation;electron;absorption,Eduqas;AQA;OCR;Edexcel,An electron absorbs energy and moves to a higher energy level. This process is called:,Ionisation,Emission,Excitation,Relaxation,C,"When an electron moves to a higher energy level, it is said to be excited.",easy
Quantum Physics,Energy Levels and Spectral Lines,absorption spectrum;dark lines;photon absorption,Eduqas;AQA;OCR;Edexcel,What is an absorption spectrum?,Bright lines on a dark background,Dark lines on a bright background,All wavelengths of visible light,Only infrared radiation,B,An absorption spectrum consists of dark lines where photons have been absorbed by atoms.,medium
Quantum Physics,Energy Levels and Spectral Lines,photon;energy;hf,Eduqas;AQA;OCR;Edexcel,Which formula gives the energy of a photon?,E = mc²,E = hf,E = h/v,E = qV,B,"The energy of a photon is E = hf, where h is Planck’s constant and f is the frequency.",easy
Quantum Physics,Energy Levels and Spectral Lines,spectral lines;unique;element,Eduqas;AQA;OCR;Edexcel,Why are spectral lines considered unique fingerprints of elements?,All elements emit the same lines,The lines depend on the number of neutrons,Each element has unique energy levels,They are all found in the same region of the spectrum,C,"Each element has a unique set of energy levels, resulting in unique spectral lines.",medium
Quantum Physics,Energy Levels and Spectral Lines,ionisation;energy;electron,Eduqas;AQA;OCR;Edexcel,What happens to an electron during ionisation?,It moves to a higher level within the atom,It emits a photon and returns to ground state,It absorbs enough energy to leave the atom,It becomes a proton,C,Ionisation occurs when an electron absorbs enough energy to completely leave the atom.,medium
