topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Quantum Physics,Wave-Particle Duality and de Broglie,wave-particle duality;quantum;electrons,Eduqas;AQA;OCR;Edexcel,What does wave-particle duality mean?,Light behaves only as a wave,Electrons behave only as particles,Particles can exhibit both wave and particle properties,Waves are made of particles,C,Wave-particle duality means that particles like electrons exhibit both wave-like and particle-like behavior.,easy
Quantum Physics,Wave-Particle Duality and de Broglie,electron diffraction;wave nature;experiment,Eduqas;AQA;OCR;Edexcel,Which experiment demonstrated the wave nature of electrons?,Photoelectric effect,Compton scattering,Electron diffraction,Alpha scattering,C,Electron diffraction through thin films shows that electrons behave like waves.,medium
Quantum Physics,Wave-Particle Duality and de Broglie,de Broglie;wavelength;momentum,Eduqas;AQA;OCR;Edexcel,What is the de Broglie wavelength formula?,λ = hf,λ = h/p,λ = h·f,λ = p/h,B,"The de Broglie wavelength λ = h / p, where p is momentum and h is Planck’s constant.",medium
Quantum Physics,Wave-Particle Duality and de Broglie,de Broglie;wavelength;momentum,Eduqas;AQA;OCR;Edexcel,What happens to the de Broglie wavelength of a particle if its momentum increases?,Wavelength increases,Wavelength stays the same,Wavelength decreases,Wavelength becomes infinite,C,"Since λ = h / p, increasing momentum p decreases the wavelength.",medium
Quantum Physics,Wave-Particle Duality and de Broglie,units;wavelength;de Broglie,Eduqas;AQA;OCR;Edexcel,What unit is used for the de Broglie wavelength?,Hertz,Joule,Metre,Electronvolt,C,Wavelength is measured in metres (m).,easy
Quantum Physics,Wave-Particle Duality and de Broglie,calculation;de Broglie;momentum,Eduqas;AQA;OCR;Edexcel,An electron moves with momentum of 3.3 × 10⁻²⁴ kg·m/s. What is its de Broglie wavelength? (h = 6.63 × 10⁻³⁴ J·s),2.01 × 10⁻¹⁰ m,2.01 × 10⁻⁹ m,5.0 × 10⁻⁷ m,1.1 × 10⁻¹¹ m,A,λ = h/p = 6.63×10⁻³⁴ / 3.3×10⁻²⁴ = 2.01×10⁻¹⁰ m.,hard
Quantum Physics,Wave-Particle Duality and de Broglie,wave-particle;uncertainty;quantum,Eduqas;AQA;OCR;Edexcel,Wave-particle duality is a concept supported by which principle?,Uncertainty principle,Conservation of energy,Coulomb's law,Newton's second law,A,Wave-particle duality and Heisenberg’s uncertainty principle both describe fundamental quantum behaviors.,medium
Quantum Physics,Wave-Particle Duality and de Broglie,photoelectric;light;particles,Eduqas;AQA;OCR;Edexcel,Which of these best demonstrates the particle nature of light?,Interference,Diffraction,Photoelectric effect,Reflection,C,The photoelectric effect shows light acting as particles (photons) transferring energy to electrons.,easy
Quantum Physics,Wave-Particle Duality and de Broglie,interference;electrons;waves,Eduqas;AQA;OCR;Edexcel,Which property of electrons allows them to form interference patterns?,Charge,Mass,Spin,Wave nature,D,The wave nature of electrons allows them to interfere and form patterns like light waves.,medium
Quantum Physics,Wave-Particle Duality and de Broglie,diffraction;electron;conditions,Eduqas;AQA;OCR;Edexcel,What is the key condition for observing electron diffraction?,Electrons must be moving very slowly,The electrons must be charged,The electrons must pass through a crystal or thin film,High voltage must be used,C,Electron diffraction patterns are observed when electrons pass through a crystalline structure or thin film.,medium
