topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Thermal Physics,Ideal Gas Equation,ideal gas equation;PV=nRT;gas laws,Eduqas;AQA;OCR;Edexcel,What is the ideal gas equation?,PV = mcΔT,P = nRT,PV = nRT,Q = mL,C,"The ideal gas law is PV = nRT, where P is pressure, V is volume, n is moles, R is gas constant, and T is temperature.",easy
Thermal Physics,Ideal Gas Equation,gas constant;ideal gas law;assumptions,Eduqas;AQA;OCR;Edexcel,Which of the following quantities is assumed constant when using PV = nRT?,Gas constant,Volume,Pressure,Temperature,A,"R is the universal gas constant, a fixed value in the ideal gas law.",easy
Thermal Physics,Ideal Gas Equation,volume;calculation;ideal gas law,Eduqas;AQA;OCR;Edexcel,Calculate the volume occupied by 1 mole of an ideal gas at 101325 Pa and 273 K. (R = 8.31 J/mol·K),0.0224 m³,0.024 m³,0.018 m³,0.026 m³,A,V = nRT/P = (1×8.31×273) / 101325 ≈ 0.0224 m³.,medium
Thermal Physics,Ideal Gas Equation,pressure;SI units;ideal gas,Eduqas;AQA;OCR;Edexcel,"In the ideal gas equation, what are the units of pressure?",atm,Pa,mmHg,bar,B,Pressure in the SI form of the ideal gas law must be in Pascals (Pa).,easy
Thermal Physics,Ideal Gas Equation,gas constant;value;R,Eduqas;AQA;OCR;Edexcel,What is the value of the universal gas constant R?,8.31 J/kg·K,9.81 J/mol·K,8.31 J/mol·K,6.02×10²³ J/mol·K,C,R = 8.31 J/mol·K in the ideal gas equation.,easy
Thermal Physics,Ideal Gas Equation,pressure;moles;ideal gas,Eduqas;AQA;OCR;Edexcel,What happens to pressure if the number of moles is doubled while keeping volume and temperature constant?,It halves,It doubles,It remains the same,It quadruples,B,"P ∝ n when V and T are constant, so doubling n doubles P.",medium
Thermal Physics,Ideal Gas Equation,pressure;calculation;PV=nRT,Eduqas;AQA;OCR;Edexcel,"If 0.5 mol of a gas occupies 0.012 m³ at 300 K, what is its pressure? (R = 8.31 J/mol·K)",10388 Pa,12388 Pa,14175 Pa,17312 Pa,C,P = nRT/V = (0.5×8.31×300) / 0.012 ≈ 14175 Pa.,hard
Thermal Physics,Ideal Gas Equation,volume;gas law;calculation,Eduqas;AQA;OCR;Edexcel,What is the volume of 3 moles of an ideal gas at 400 K and 202650 Pa? (R = 8.31 J/mol·K),0.041 m³,0.049 m³,0.055 m³,0.066 m³,D,V = nRT/P = (3×8.31×400) / 202650 ≈ 0.066 m³.,hard
Thermal Physics,Ideal Gas Equation,temperature;kelvin;ideal gas law,Eduqas;AQA;OCR;Edexcel,What must temperature be measured in when using PV = nRT?,Celsius,Kelvin,Fahrenheit,Rankine,B,Temperature must be in Kelvin for consistency with the gas constant.,easy
Thermal Physics,Ideal Gas Equation,volume;gas constant;calculation,Eduqas;AQA;OCR;Edexcel,A container holds 2.5 mol of gas at 350 K and a pressure of 202000 Pa. What is the volume? (R = 8.31 J/mol·K),0.036 m³,0.045 m³,0.052 m³,0.061 m³,B,V = nRT/P = (2.5×8.31×350) / 202000 ≈ 0.045 m³.,hard
