topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Thermal Physics,Kinetic Theory of Gases,kinetic theory;average kinetic energy;temperature,Eduqas;AQA;OCR;Edexcel,"According to kinetic theory, which quantity is directly proportional to the average kinetic energy of gas molecules?",Volume,Pressure,Temperature in °C,Temperature in Kelvin,D,Average kinetic energy is directly proportional to absolute (Kelvin) temperature.,medium
Thermal Physics,Kinetic Theory of Gases,kinetic energy;temperature;gas molecules,Eduqas;AQA;OCR;Edexcel,What does the equation E<sub>k</sub> = (3/2)kT represent?,Work done by a gas,Pressure-volume relationship,Average kinetic energy per molecule,Internal energy of a solid,C,It gives the average kinetic energy per gas molecule as a function of absolute temperature.,hard
Thermal Physics,Kinetic Theory of Gases,ideal gas assumptions;collisions;kinetic theory,Eduqas;AQA;OCR;Edexcel,Which assumption is made in the kinetic theory of ideal gases?,Gas particles attract each other,Collisions are inelastic,Volume of molecules is significant,Time of collisions is negligible compared to time between collisions,D,This simplifies calculations and is valid for ideal gases at low pressure.,medium
Thermal Physics,Kinetic Theory of Gases,ideal gas;assumptions;forces,Eduqas;AQA;OCR;Edexcel,Which of the following is NOT an assumption of the kinetic theory of ideal gases?,Gas particles are in constant random motion,Gas particles exert forces on each other,Collisions are perfectly elastic,Volume of individual gas particles is negligible,B,Ideal gas theory assumes no intermolecular forces between particles.,easy
Thermal Physics,Kinetic Theory of Gases,rms speed;temperature;kinetic theory,Eduqas;AQA;OCR;Edexcel,Which statement about the root mean square (rms) speed of gas molecules is correct?,It decreases with temperature,It is constant for all gases,It increases with the square root of temperature,It is independent of molecular mass,C,"v<sub>rms</sub> ∝ √T, so it increases as temperature increases.",medium
Thermal Physics,Kinetic Theory of Gases,average kinetic energy;Boltzmann constant;temperature,Eduqas;AQA;OCR;Edexcel,Calculate the average kinetic energy of a gas molecule at 400 K. (k = 1.38×10⁻²³ J/K),8.28×10⁻²¹ J,6.21×10⁻²¹ J,4.14×10⁻²¹ J,1.66×10⁻²¹ J,B,E = (3/2)kT = 1.5 × 1.38×10⁻²³ × 400 ≈ 6.21×10⁻²¹ J.,hard
Thermal Physics,Kinetic Theory of Gases,pressure;temperature;constant volume,Eduqas;AQA;OCR;Edexcel,What happens to the pressure of a gas if the temperature doubles at constant volume?,It doubles,It halves,It remains constant,It quadruples,A,"From kinetic theory and the ideal gas law, P ∝ T when volume is constant.",medium
Thermal Physics,Kinetic Theory of Gases,motion;gas particles;kinetic theory,Eduqas;AQA;OCR;Edexcel,Which best describes the motion of gas particles in an ideal gas?,They vibrate around fixed points,They move in circles,They move randomly in straight lines until colliding,They move slowly due to intermolecular forces,C,"Ideal gas particles move in random straight-line motion, with elastic collisions.",easy
Thermal Physics,Kinetic Theory of Gases,pressure;temperature;collisions,Eduqas;AQA;OCR;Edexcel,Why does pressure increase when gas temperature increases at constant volume?,Particles become heavier,More particles are added,Particles collide more frequently and with more force,Volume expands to balance pressure,C,"Higher temperature means more kinetic energy, causing more frequent and forceful collisions.",medium
Thermal Physics,Kinetic Theory of Gases,kinetic energy;temperature;boltzmann constant,Eduqas;AQA;OCR;Edexcel,A gas has an average kinetic energy of 6.21×10⁻²¹ J. What is its temperature? (k = 1.38×10⁻²³ J/K),200 K,300 K,400 K,600 K,C,T = (2/3)(E/k) = (2/3) × (6.21×10⁻²¹ / 1.38×10⁻²³) ≈ 400 K.,hardcore
