topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Thermal Physics,Latent Heat,latent heat;state change;definition,Eduqas;AQA;OCR;Edexcel,What does specific latent heat refer to?,Heat required to change temperature by 1 °C,Heat needed to change state without temperature change,Heat needed to melt 1 kg of gas,Heat released during cooling,B,Specific latent heat is the energy required to change the state of 1 kg of substance without a change in temperature.,easy
Thermal Physics,Latent Heat,latent heat;equation;Q = mL,Eduqas;AQA;OCR;Edexcel,What is the formula for specific latent heat?,Q = mcΔT,Q = mL,Q = cΔT,Q = m/T,B,"Q = mL, where Q is energy, m is mass, and L is specific latent heat.",easy
Thermal Physics,Latent Heat,ice;fusion;latent heat,Eduqas;AQA;OCR;Edexcel,What is the specific latent heat of fusion of ice?,334000 J/kg,2260000 J/kg,4200 J/kg·K,273 J/kg,A,The specific latent heat of fusion of ice is 334000 J/kg.,medium
Thermal Physics,Latent Heat,latent heat;vaporisation;calculation,Eduqas;AQA;OCR;Edexcel,How much energy is needed to vaporise 0.5 kg of water at 100 °C? (L<sub>v</sub> = 2.26×10<sup>6</sup> J/kg),1.13×10⁶ J,2.26×10⁶ J,4.52×10⁶ J,1.13×10⁵ J,A,Q = mL = 0.5 × 2.26×10⁶ = 1.13×10⁶ J.,hard
Thermal Physics,Latent Heat,melting;constant temperature;energy,Eduqas;AQA;OCR;Edexcel,Why does temperature remain constant during melting?,Heat is lost to the environment,Particles move more slowly,Energy is used to break bonds,Mass is increasing,C,Energy goes into breaking intermolecular bonds rather than increasing kinetic energy.,medium
Thermal Physics,Latent Heat,latent heat;calculation;Q = mL,Eduqas;AQA;OCR;Edexcel,"A substance absorbs 150000 J to melt completely. If its mass is 0.5 kg, what is its specific latent heat?",3.0×10⁵ J/kg,7.5×10⁴ J/kg,6.0×10⁵ J/kg,1.5×10⁵ J/kg,A,L = Q/m = 150000 / 0.5 = 3.0×10⁵ J/kg.,hard
Thermal Physics,Latent Heat,vaporisation;boiling;energy,Eduqas;AQA;OCR;Edexcel,What is the specific latent heat of vaporisation of water used for?,Calculating temperature rise of water,Calculating energy needed to boil water,Finding melting point,Calculating specific heat capacity,B,Latent heat of vaporisation is used to calculate energy needed to turn water into steam at boiling point.,easy
Thermal Physics,Latent Heat,latent heat;fusion;vaporisation,Eduqas;AQA;OCR;Edexcel,What is the main difference between latent heat of fusion and latent heat of vaporisation?,Fusion involves gas to liquid; vaporisation is liquid to gas,Fusion occurs at 100 °C; vaporisation at 0 °C,Fusion is solid to liquid; vaporisation is liquid to gas,Fusion requires more energy than vaporisation,C,Latent heat of fusion is for melting; vaporisation is for boiling.,medium
Thermal Physics,Latent Heat,condensation;internal energy;energy transfer,Eduqas;AQA;OCR;Edexcel,"During condensation, what happens to the internal energy of a substance?",It increases,It remains the same,It decreases,It becomes zero,C,"Energy is released from the substance to the surroundings, so internal energy decreases.",medium
Thermal Physics,Latent Heat,ethanol;latent heat;vaporisation,Eduqas;AQA;OCR;Edexcel,A 200 g sample of ethanol is vaporised using 1.82×10⁵ J of energy. What is its specific latent heat of vaporisation?,9.1×10⁵ J/kg,1.82×10⁵ J/kg,3.64×10⁵ J/kg,4.55×10⁵ J/kg,A,L = Q/m = 1.82×10⁵ / 0.2 = 9.1×10⁵ J/kg.,hard
