topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Thermal Physics,Specific Heat Capacity,specific heat capacity;energy;temperature change,Eduqas;AQA;OCR;Edexcel,Which equation defines specific heat capacity?,Q = mc²,Q = mcΔT,Q = mΔT,Q = ΔT/c,B,Specific heat capacity is defined by Q = mcΔT.,easy
Thermal Physics,Specific Heat Capacity,units;specific heat capacity;SI,Eduqas;AQA;OCR;Edexcel,What are the SI units of specific heat capacity?,J/kg,J/kg·K,W/kg·K,J/mol·K,B,Specific heat capacity is measured in joules per kilogram per kelvin (J/kg·K).,easy
Thermal Physics,Specific Heat Capacity,energy;calculation;specific heat capacity,Eduqas;AQA;OCR;Edexcel,Calculate the energy required to raise the temperature of 2.0 kg of water by 10 °C. (c = 4200 J/kg·K),42000 J,84000 J,21000 J,63000 J,B,Q = mcΔT = 2 × 4200 × 10 = 84000 J.,medium
Thermal Physics,Specific Heat Capacity,specific heat capacity;inverse calculation,Eduqas;AQA;OCR;Edexcel,A 500 g block of metal is heated and its temperature rises by 15 °C. It absorbs 7500 J of energy. What is its specific heat capacity?,1000 J/kg·K,500 J/kg·K,1500 J/kg·K,750 J/kg·K,A,c = Q/(mΔT) = 7500 / (0.5 × 15) = 1000 J/kg·K.,hard
Thermal Physics,Specific Heat Capacity,water;specific heat capacity;thermal properties,Eduqas;AQA;OCR;Edexcel,Why does water have a high specific heat capacity?,Its molecules are heavy,It conducts heat well,It requires more energy to raise temperature,It evaporates quickly,C,Water's high specific heat means more energy is needed to raise its temperature.,medium
Thermal Physics,Specific Heat Capacity,thermal properties;temperature change;materials,Eduqas;AQA;OCR;Edexcel,What does a large specific heat capacity indicate about a material?,It heats up quickly,It stores less thermal energy,It resists temperature change,It has low density,C,Materials with large specific heat capacity resist temperature change.,medium
Thermal Physics,Specific Heat Capacity,copper;temperature;energy calculation,Eduqas;AQA;OCR;Edexcel,How much energy is needed to raise the temperature of 250 g of copper by 40 K? (c = 385 J/kg·K),3850 J,385 J,38500 J,385000 J,A,Q = mcΔT = 0.25 × 385 × 40 = 3850 J.,hard
Thermal Physics,Specific Heat Capacity,thermal energy;factors;equation,Eduqas;AQA;OCR;Edexcel,Which of the following affects the amount of thermal energy required to change the temperature of a substance?,Mass only,Specific heat capacity only,Temperature only,"Mass, specific heat capacity, and temperature change",D,"Q = mcΔT depends on all three: mass, specific heat, and temperature change.",easy
Thermal Physics,Specific Heat Capacity,definition;J/kg·K;thermal energy,Eduqas;AQA;OCR;Edexcel,What does it mean if a material has a specific heat capacity of 500 J/kg·K?,500 J of energy raises 1 kg by 1 °C,1 J of energy raises 500 kg by 1 °C,500 J of energy raises 1 g by 1 K,It takes 500 J to melt the material,A,Specific heat capacity means 500 J raises 1 kg of substance by 1 K (or °C).,medium
Thermal Physics,Specific Heat Capacity,specific heat;energy;calculation,Eduqas;AQA;OCR;Edexcel,A student heats 0.2 kg of oil by 50 °C using 18000 J of energy. What is the specific heat capacity of the oil?,1800 J/kg·K,3600 J/kg·K,900 J/kg·K,4500 J/kg·K,D,c = Q / (mΔT) = 18000 / (0.2 × 50) = 18000 / 10 = 1800 J/kg·K.,hard
