topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Waves and Optics,Diffraction and Young’s Double Slit,diffraction;wave behavior;obstacles,Eduqas;AQA;OCR;Edexcel,What is diffraction?,Reflection of waves at a boundary,Bending of waves around obstacles or through gaps,Change in speed of waves across a boundary,Cancellation of two waves,B,Diffraction is the spreading of waves as they pass through a gap or around an obstacle.,easy
Waves and Optics,Diffraction and Young’s Double Slit,young’s experiment;fringe spacing;wavelength,Eduqas;AQA;OCR;Edexcel,"In Young’s double slit experiment, which factor increases fringe spacing?",Decreasing wavelength,Increasing slit separation,Decreasing screen distance,Increasing wavelength,D,Fringe spacing is directly proportional to wavelength (Δy = λD / s).,medium
Waves and Optics,Diffraction and Young’s Double Slit,coherent light;monochromatic;interference,Eduqas;AQA;OCR;Edexcel,Which condition is necessary for clear diffraction patterns in the double slit experiment?,Monochromatic and coherent light,Bright room,Multiple sources,Variable frequency,A,Coherent and monochromatic light ensures consistent phase difference and wavelength.,medium
Waves and Optics,Diffraction and Young’s Double Slit,fringe spacing;λD/s;calculation,Eduqas;AQA;OCR;Edexcel,A light of wavelength 600 nm passes through slits separated by 0.2 mm. The screen is 2 m away. What is the fringe spacing?,3.0 mm,6.0 mm,2.4 mm,4.0 mm,C,Δy = λD / s = (600×10⁻⁹ × 2) / (0.2×10⁻³) = 6.0 mm.,hard
Waves and Optics,Diffraction and Young’s Double Slit,diffraction;wavelength;gap size,Eduqas;AQA;OCR;Edexcel,"In diffraction, when is spreading of waves most noticeable?",When wavelength is much smaller than the gap,When the wave travels faster,When wavelength is comparable to the size of the gap,At higher wave frequencies,C,Diffraction is most pronounced when the gap size is similar to the wavelength.,medium
Waves and Optics,Diffraction and Young’s Double Slit,radio waves;diffraction;wavelength,Eduqas;AQA;OCR;Edexcel,Which type of wave is most likely to diffract around buildings?,Visible light,Gamma rays,Microwaves,Radio waves,D,"Radio waves have long wavelengths, making them more susceptible to diffraction.",easy
Waves and Optics,Diffraction and Young’s Double Slit,fringe spacing;screen distance;interference,Eduqas;AQA;OCR;Edexcel,"In Young’s double slit experiment, what happens to the fringe spacing if the distance to the screen is doubled?",It halves,It doubles,It stays the same,It becomes zero,B,Fringe spacing is directly proportional to screen distance (Δy ∝ D).,medium
Waves and Optics,Diffraction and Young’s Double Slit,interference pattern;young’s experiment;fringes,Eduqas;AQA;OCR;Edexcel,What is observed on the screen in Young’s double slit experiment?,Single bright spot,Alternating dark and bright fringes,Circular wavefronts,Standing waves,B,The screen shows alternating dark and bright fringes due to interference.,easy
Waves and Optics,Diffraction and Young’s Double Slit,fringe spacing;slit separation;interference,Eduqas;AQA;OCR;Edexcel,How does increasing slit separation affect the fringe pattern?,Increases brightness,Fringes get wider,Fringes get closer together,No change,C,Fringe spacing Δy = λD / s; increasing s decreases Δy.,medium
Waves and Optics,Diffraction and Young’s Double Slit,central maximum;phase difference;interference,Eduqas;AQA;OCR;Edexcel,What is the phase difference at the central maximum in Young’s double slit experiment?,0 radians,π radians,π/2 radians,2π radians,A,"Central maximum occurs when path difference is zero, so phase difference is 0 radians.",hard
