topic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Kinematics,displacement;velocity;distance,AQA;OCR;Edexcel;Eduqas,Which of the following is a vector quantity?,Distance,Speed,Displacement,Time,C,"Displacement has both magnitude and direction, making it a vector. The others are scalars.",easy
Kinematics,acceleration;uniform acceleration;equations of motion,AQA;OCR;Edexcel,A car accelerates uniformly from rest at 2 m/s² for 5 seconds. What is its final velocity?,10 m/s,5 m/s,15 m/s,20 m/s,A,v = u + at = 0 + (2)(5) = 10 m/s,easy
Kinematics,graphs;displacement-time;gradient,OCR;Eduqas,What does the gradient of a displacement-time graph represent?,Acceleration,Displacement,Velocity,Distance,C,The gradient of a displacement-time graph gives velocity.,easy
Kinematics,equations of motion;calculation,Edexcel;AQA,A ball is thrown vertically upwards with a velocity of 12 m/s. How long does it take to reach the highest point? (g = 9.8 m/s²),1.2 s,1.0 s,2.4 s,1.5 s,A,"At highest point, final velocity v = 0. Use v = u + at → 0 = 12 - 9.8t → t = 1.22 ≈ 1.2 s",medium
Kinematics,free fall;displacement;acceleration,OCR;Eduqas,An object falls freely from rest. Which of the following is correct about its motion (ignoring air resistance)?,Its velocity decreases,Its acceleration increases,Its displacement increases quadratically with time,Its displacement remains constant,C,"Under constant acceleration, s = 1/2 at² → displacement increases quadratically with time.",medium
Kinematics,velocity-time graph;area under graph;distance,AQA;OCR,What does the area under a velocity-time graph represent?,Acceleration,Distance travelled,Speed,Change in velocity,B,The area under a velocity-time graph gives displacement (or distance if speed is constant).,easy
Kinematics,non-uniform motion;acceleration,AQA;Edexcel,Which graph shape represents constant acceleration in a velocity-time graph?,Horizontal line,Straight line with positive gradient,Curved line,Straight line with zero gradient,B,A straight line with a constant (non-zero) gradient in a v-t graph indicates constant acceleration.,easy
Kinematics,relative motion;vectors,OCR;Eduqas,Two trains move in opposite directions at 20 m/s and 30 m/s. What is the speed of one train relative to the other?,10 m/s,25 m/s,50 m/s,30 m/s,C,Relative speed = sum of speeds = 20 + 30 = 50 m/s (since they move in opposite directions),medium
Kinematics,suvat;equations of motion,Edexcel;AQA,Which kinematic equation is correct for constant acceleration?,s = ut + 1/2at²,v² = u² + 2as²,v = u + 2at,s = v - at²,A,s = ut + 1/2at² is a standard kinematic equation under constant acceleration.,easy
Kinematics,suvat;vertical motion;gravity,OCR;AQA;Eduqas,A ball dropped from a height takes 2 seconds to hit the ground. What is the height? (g = 9.8 m/s²),9.8 m,19.6 m,4.9 m,39.2 m,B,s = 1/2gt² = 0.5 × 9.8 × (2)² = 19.6 m,medium
